Name,Spec,ImageURL
아지노모도 아미노바이탈 프로 3800,"헬스보충제/종류: BCAA/섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1~3포/형태: 분말/특징: 스틱형/기능성: 영양보충",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아지노모도 아미노바이탈 프로 3800 14포.jpg
정관장 아미노 활기력샷,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1병/형태: 음료(액상)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\정관장 아미노 활기력샷 20ml.jpg
집중력연구소 공먹젤 구미,"헬스보충제/종류: 아르기닌/섭취대상: 유아,청소년/형태: 캔디,츄어블, 젤리",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\집중력연구소 공먹젤 구미 36g.jpg
허닭 액티브 아르기닌 6500,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/HACCP/포도맛",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\허닭 액티브 아르기닌 6500 15포.jpg
대상웰라이프 뉴케어 스포식스 부스터 젤,"헬스보충제/섭취횟수, 양: 1회, 1팩/특징: 파우치형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대상웰라이프 뉴케어 스포식스 부스터 젤 10팩.jpg
대상웰라이프 뉴케어 스포식스 리바이탈 드링크,"헬스보충제/섭취횟수, 양: 1회, 1팩/특징: 파우치형",
대상웰라이프 뉴케어 스포식스 클리어샷,"헬스보충제/섭취횟수, 양: 1회, 1포/형태: 음료(액상)/특징: 스틱형",
대상웰라이프 뉴케어 스포식스 에너지 젤 청포도맛,"헬스보충제/섭취횟수, 양: 1회, 1포/형태: 음료(액상), 젤리/특징: 스틱형",
대상웰라이프 뉴케어 스포식스 에너지 젤 복숭아맛,"헬스보충제/섭취횟수, 양: 1회, 1포/형태: 음료(액상), 젤리/특징: 스틱형",
일동후디스 하이뮨 아미노포텐,"헬스보충제/섭취횟수, 양: 1일 2회, 1포/형태: 음료(액상), 젤리/특징: 스틱형/파인애플맛",
비타민마을 BCAA 헬스부스터,"헬스보충제/종류: BCAA/섭취횟수, 양: 1회, 8g/형태: 분말",
나우푸드 아르지닌 & BCAA,"헬스보충제/종류: BCAA/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형",
그린헬스케어 그린헬스케어 슈퍼스타 아미노산,"헬스보충제/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/기능성: 영양보충",
에프앤디넷 락피도 아르기닌 제로 6000,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/HACCP/기능성: 영양보충",
익스트림 트리플 아르기닌 5000,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/기능성: 영양보충",
익스트림 리포좀 아르기닌,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/기능성: 영양보충",
익스트림 더 활력샷,"헬스보충제/종류: 아르기닌/섭취횟수, 양: 1일 1회, 1병/형태: 음료(액상)/특징: 페트형",
익스트림 블랙마카,"헬스보충제/섭취횟수, 양: 1일 2회, 2정/형태: 캡슐,정/HACCP",
에이플네이처 칼로바이 BCAA 7000,"헬스보충제/종류: BCAA/섭취횟수, 양: 1회, 14g/형태: 분말",
