Name,Spec,ImageURL
한국인삼공사 정관장 홍삼정,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3g/
[진세노사이드] 진세노사이드 1일 함량: 16.5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 100%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼정.jpg
한국인삼공사 정관장 홍삼정 에브리타임 밸런스,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 7mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 21%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼정 에브리타임 밸런스.jpg
한국인삼공사 정관장 홍삼원,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.36%(고형분 60%, 홍삼성분 70mg/g)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼원.jpg
서울약사신협 프리미엄 홍삼정 천명 플러스,"홍삼/형태: 농축액/섭취대상: 성인여성/섭취횟수, 양: 1일 3회, 1회 1g/
[진세노사이드] 진세노사이드 1일 함량: 54mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 100%(고형분 60% 이상)/배합비율: 홍삼근 30%, 홍미삼 70%/
[인증] 건강기능식품/GMP/기능성: 갱년기 개선, 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\서울약사신협 프리미엄 홍삼정 천명 플러스.jpg
한국인삼공사 정관장 홍삼정 마일드 센스,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 15%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼정 마일드 센스.jpg
서울약사신협 프리미엄 홍삼정 천명 플러스 스틱,"홍삼/형태: 농축액/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 37mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 30%(고형분 60% 이상)/배합비율: 홍삼근 30%, 홍미삼 70%/
[인증] 건강기능식품/GMP/기능성: 갱년기 개선, 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\서울약사신협 프리미엄 홍삼정 천명 플러스 스틱.jpg
한국인삼공사 정관장 홍삼정 에브리타임,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 11.6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 30%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼정 에브리타임.jpg
한국인삼공사 정관장 홍삼정 로얄,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3g/
[진세노사이드] 진세노사이드 1일 함량: 16.5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 100%(고형분 64%)/배합비율: 홍삼근 100%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼정 로얄.jpg
한국인삼공사 정관장 활기력,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1회 1병/특징: 선물세트/
[원재료/함량] 원재료: 6년근/홍삼농축액 5%(고형분 60%, 홍삼성분 70mg/g)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 활기력.jpg
한국인삼공사 정관장 홍삼진고,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 10g/
[진세노사이드] 진세노사이드 1일 함량: 7mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍삼\한국인삼공사 정관장 홍삼진고.jpg
