Name,Spec,ImageURL
TWG티 1837 블랙티,홍차/티백형/총량: 15T/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\TWG티 1837 블랙티.jpg
유니레버 립톤 옐로우 라벨 홍차,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\유니레버 립톤 옐로우 라벨 홍차.jpg
남양유업 루카스나인 시그니처 라떼 밀크티,밀크티/스틱형/총량: 120T/원산지: 외국산/1T당: 17.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\남양유업 루카스나인 시그니처 라떼 밀크티.jpg
트와이닝 얼그레이 홍차 티백,홍차/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 얼그레이 홍차 티백.jpg
아모레퍼시픽 오설록 트로피컬 블랙티,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아모레퍼시픽 오설록 트로피컬 블랙티.jpg
스위트코리아 레드자몽 아이스티 액상음료 희석음료 농축액,홍차,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\스위트코리아 레드자몽 아이스티 액상음료 희석음료 농축액.jpg
아마드티 잉글리쉬 블랙퍼스트 홍차 티백,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아마드티 잉글리쉬 블랙퍼스트 홍차 티백.jpg
트와이닝 얼그레이티,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 얼그레이티.jpg
메이토 로얄 밀크티,밀크티/분말,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\메이토 로얄 밀크티.jpg
아모레퍼시픽 오설록 동백이 피는 곶자왈,홍차/티백형/총량: 20T/원산지: 국내산/1T당: 1.8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아모레퍼시픽 오설록 동백이 피는 곶자왈.jpg
트와이닝 얼그레이,홍차/티백형/총량: 75T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 얼그레이.jpg
아모레퍼시픽 오설록 삼다연 제주영귤,홍차/티백형/총량: 20T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아모레퍼시픽 오설록 삼다연 제주영귤.jpg
도밍고 꿀 홍차,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\도밍고 꿀 홍차.jpg
쟈뎅 아워티 애플 피치 우롱티입,홍차/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쟈뎅 아워티 애플 피치 우롱티입.jpg
SHIH CHEN FOODS 3시오리지널 밀크티,밀크티/티백형/총량: 15T/1T당: 20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\SHIH CHEN FOODS 3시오리지널 밀크티.jpg
쟈뎅 아워티 애플 시나몬 루이보스티입,홍차/루이보스/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쟈뎅 아워티 애플 시나몬 루이보스티입.jpg
티젠 얼그레이,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 1.6g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\티젠 얼그레이.jpg
테틀리 얼그레이,홍차/티백형/총량: 25T/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\테틀리 얼그레이.jpg
아마드티 얼그레이 홍차,홍차/원물(잎차)/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아마드티 얼그레이 홍차.jpg
아크바 얼그레이 홍차,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아크바 얼그레이 홍차.jpg
담터 콜드브루티 복숭아 패션후르츠 홍차,홍차/티백형/총량: 20T/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\담터 콜드브루티 복숭아 패션후르츠 홍차.jpg
쟈뎅 아워티 오렌지 자몽 블랙티,홍차/티백형/총량: 10T/1T당: 18.9g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쟈뎅 아워티 오렌지 자몽 블랙티.jpg
트와이닝 잉글리쉬 블랙퍼스트,홍차/티백형/총량: 120T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 잉글리쉬 블랙퍼스트.jpg
아크바 무가당 얼그레이 홍차베이스,홍차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아크바 무가당 얼그레이 홍차베이스.jpg
차트라뮤 타이티 믹스 밀크티 골드라벨50티백,홍차/티백형/총량: ~50티백/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\차트라뮤 타이티 믹스 밀크티 골드라벨50티백.jpg
쟈뎅 아워티 레몬 얼그레이티,홍차/티백형/총량: 10T/1T당: 17.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쟈뎅 아워티 레몬 얼그레이티.jpg
아마드티 애프리콧 썬라이즈 홍차,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아마드티 애프리콧 썬라이즈 홍차.jpg
트와이닝 레이디 그레이 홍차,홍차/티백형/총량: 25T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 레이디 그레이 홍차.jpg
쌍계명차 쌍계 차 김동곤 인 헛개나무차 100티백 식자재 식재료 업소용,홍차/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쌍계명차 쌍계 차 김동곤 인 헛개나무차 100티백 식자재 식재료 업소용.jpg
로네펠트 티벨롭 얼그레이,홍차/티백형/총량: 25T/원산지: 외국산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\로네펠트 티벨롭 얼그레이.jpg
테틀리 잉글리쉬 브렉퍼스트,홍차/티백형/총량: 100T/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\테틀리 잉글리쉬 브렉퍼스트.jpg
아크바 제로슈거 얼그레이 홍차베이스,홍차/녹차/홍차/유자차/용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아크바 제로슈거 얼그레이 홍차베이스.jpg
아마드티 얼그레이 홍차 티백,홍차/티백형/총량: 100T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아마드티 얼그레이 홍차 티백.jpg
아모레퍼시픽 오설록 삼다연 오리지널 밀크티,밀크티/분말/1T당: 20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아모레퍼시픽 오설록 삼다연 오리지널 밀크티.jpg
아마드티 실론 홍차,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아마드티 실론 홍차.jpg
일동홍차 로얄 밀크티,밀크티/분말/스틱형/총량: 60T,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\일동홍차 로얄 밀크티.jpg
티젠 실론 얼그레이 바닐라 밀크티입,밀크티/스틱형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\티젠 실론 얼그레이 바닐라 밀크티입.jpg
베질루르 얼그레이,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\베질루르 얼그레이.jpg
SHIH CHEN FOODS 3시로즈힙 밀크티,밀크티/티백형/총량: 15T/1T당: 20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\SHIH CHEN FOODS 3시로즈힙 밀크티.jpg
테일러스오브헤로게이트 레몬&오렌지 홍차,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 2.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\테일러스오브헤로게이트 레몬&오렌지 홍차.jpg
티젠 해남호지차 카라멜 밀크티입,밀크티/스틱형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\티젠 해남호지차 카라멜 밀크티입.jpg
마리아쥬프레르 웨딩 임페리얼,홍차/총량: 30T/원산지: 외국산/중량: 140g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\마리아쥬프레르 웨딩 임페리얼.jpg
아크바 복숭아향 홍차,홍차/티백형/총량: ~50티백/개당중량: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\아크바 복숭아향 홍차.jpg
테일러스오브헤로게이트 요크셔 골드 홍차,홍차/원물(잎차)/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\테일러스오브헤로게이트 요크셔 골드 홍차.jpg
담터 따뜻하게 마시는 프룻&허니티 자몽 허니 블랙티,홍차/티백형/총량: 20T/1T당: 1g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\담터 따뜻하게 마시는 프룻&허니티 자몽 허니 블랙티.jpg
공차 허니 자몽 블랙티,홍차/스틱형/1T당: 20g/,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\공차 허니 자몽 블랙티.jpg
쟈뎅 아워티 쿨라임 파인애플 민트티,홍차/티백형/총량: 20T/1T당: 18.2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\쟈뎅 아워티 쿨라임 파인애플 민트티.jpg
동서식품 타라 클래식 잉글리쉬 브렉퍼스트,홍차/티백형/총량: 20T/1T당: 1.8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\동서식품 타라 클래식 잉글리쉬 브렉퍼스트.jpg
조은약초 얼그레이 홍차100티백,홍차/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\조은약초 얼그레이 홍차100티백.jpg
웨지우드 얼그레이,홍차/티백형/총량: 20T/1T당: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\웨지우드 얼그레이.jpg
티젠 제주 말차 초코 밀크티,밀크티/분말/스틱형/총량: 20T/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\티젠 제주 말차 초코 밀크티.jpg
이마트 노브랜드 레몬 홍차,홍차/티백형/총량: 120T/원산지: 외국산/1T당: 14g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\이마트 노브랜드 레몬 홍차.jpg
티칸네 얼그레이,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 1.75g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\티칸네 얼그레이.jpg
녹차원 얼그레이,홍차/티백형/총량: 20T/원산지: 외국산/1T당: 1.6g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\녹차원 얼그레이.jpg
베티나르디 포레스트 후르츠 티 벌크,홍차/원물(잎차)/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\베티나르디 포레스트 후르츠 티 벌크.jpg
포트넘앤메이슨 포트넘앤메이슨 브렉퍼스트 블렌드 25티백,홍차/티백형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\포트넘앤메이슨 포트넘앤메이슨 브렉퍼스트 블렌드 25티백.jpg
트와이닝 잉글리쉬 블랙퍼스트 티백입,홍차/녹차/홍차/유자차,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\홍차_밀크티\트와이닝 잉글리쉬 블랙퍼스트 티백입.jpg
