Id,Name,Type,Price,Mall,2024-10-06 22:20:23
1671961,동아오츠카 나랑드 사이다 제로 180ml,1,12160,1몰,30개,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 180ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg"
1982464,동아오츠카 나랑드 사이다 제로 245ml,1,10180,236몰,30개,"탄산음료/사이다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 245ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg"
1982483,동아오츠카 나랑드 사이다 제로 180ml,2,25340,2몰,60개,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 180ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg"
1982514,동아오츠카 나랑드 사이다 제로 245ml,1개,290,27몰,118원/100ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 245ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg"
3156888,코카콜라음료 코카콜라 제로 250ml,1개,900,19몰,360원/100ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
3156894,코카콜라음료 코카콜라 제로 250ml,6개,4780,10몰,319원/100ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
3156902,코카콜라음료 코카콜라 제로 250ml,1,20130,100몰,30개,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
3156988,코카콜라음료 코카콜라 제로 500ml,2,740,91몰,1개,"탄산음료/콜라/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
3157069,코카콜라음료 코카콜라 제로 500ml,12개,9290,76몰,155원/100ml,"탄산음료/콜라/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
3157074,코카콜라음료 코카콜라 제로 500ml,1,18330,247몰,24개,"탄산음료/콜라/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg"
