Name,Spec,ImageURL
롯데칠성음료 펩시콜라 제로슈거 라임향 1.25L,"탄산음료/콜라/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 100ml당 열량: 1kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 1.25L.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 500ml,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 135mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 500ml.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 355ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 95mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 355ml.jpg
코카콜라음료 코카콜라 제로 1.25L,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 1.25L.jpg
코카콜라음료 코카콜라 제로 355ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 22mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 355ml.jpg
코카콜라음료 코카콜라 제로 190ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 190ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 12mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 190ml.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 210ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 210ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 210ml.jpg
코카콜라음료 코카콜라 제로 500ml,"탄산음료/콜라/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 500ml.jpg
동아오츠카 나랑드 사이다 제로 1.25L,"탄산음료/사이다/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 200ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 1.25L.jpg
코카콜라음료 코카콜라 제로 1.5L,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 1.5L.jpg
롯데칠성음료 핫식스 더킹 제로 355ml,"에너지드링크/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 10kcal/탄수화물: 8.5g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg/에리스리톨: 6g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 핫식스 더킹 제로 355ml.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 제로 카페인 355ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 제로 카페인 355ml.jpg
코카콜라음료 닥터페퍼 제로 355ml,"탄산음료/그외 음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 닥터페퍼 제로 355ml.jpg
롯데칠성음료 밀키스 제로 250ml,"탄산음료/밀크소다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 8kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 밀키스 제로 250ml.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 1.5L,콜라/콜라/포장형태: 페트/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 1.5L.jpg
동아오츠카 나랑드 사이다 제로 345ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 345ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 60mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 345ml.jpg
농심 웰치 제로 그레이프맛 355ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 8g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg/알룰로오스: 8g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\농심 웰치 제로 그레이프맛 355ml.jpg
롯데칠성음료 핫식스 제로 250ml,"에너지드링크/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 8kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 핫식스 제로 250ml.jpg
동아오츠카 나랑드 사이다 제로 1.5L,"탄산음료/사이다/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 200ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 1.5L.jpg
코카콜라음료 몬스터에너지 제로 슈거 355ml,에너지드링크/포장형태: 캔/제로칼로리/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 몬스터에너지 제로 슈거 355ml.jpg
동아오츠카 나랑드 사이다 제로 245ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 245ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 245ml.jpg
코카콜라음료 코카콜라 제로 라벨프리 370ml,"탄산음료/콜라/포장형태: 페트/무라벨/제로칼로리/박스/
[영양정보] 1회 제공량 370ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 22mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 라벨프리 370ml.jpg
해태htb 갈배사이다 제로 355ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\해태htb 갈배사이다 제로 355ml.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 무라벨 300ml,"탄산음료/콜라/포장형태: 페트/무라벨/제로칼로리/박스/
[영양정보] 1회 제공량 300ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 무라벨 300ml.jpg
코카콜라음료 환타 제로 파인애플향 355ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 환타 제로 파인애플향 355ml.jpg
롯데칠성음료 칠성사이다 제로 355ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 6g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 9mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 칠성사이다 제로 355ml.jpg
코카콜라 암바사 by 환타 제로 345ml,포장형태: 캔/345ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라 암바사 by 환타 제로 345ml.jpg
동서식품 레드불 슈가프리 250ml,"에너지드링크/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 5kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동서식품 레드불 슈가프리 250ml.jpg
링티 제로 복숭아맛 500ml,"이온음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 총 내용량 500ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\링티 제로 복숭아맛 500ml.jpg
팔도 비락식혜 제로 1.5L,포장형태: 페트/1.5L/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\팔도 비락식혜 제로 1.5L.jpg
동아오츠카 나랑드 사이다 제로 500ml,"탄산음료/사이다/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 90mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 500ml.jpg
팔도 비락식혜 제로 238ml,차음료/식혜/포장형태: 캔/238ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\팔도 비락식혜 제로 238ml.jpg
코카콜라음료 코카콜라 제로 250ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 250ml.jpg
코카콜라음료 스프라이트 제로 355ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 0.7g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 11mg/에리스리톨: 0.7g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 스프라이트 제로 355ml.jpg
하이트진로음료 토닉워터 제로 300ml,"탄산음료/그외 음료/포장형태: 페트/제로칼로리/칵테일용/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\하이트진로음료 토닉워터 제로 300ml.jpg
롯데칠성음료 칠성사이다 제로 1.5L,"탄산음료/사이다/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 3mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 칠성사이다 제로 1.5L.jpg
일화 부르르 제로사이다 250ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 7mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\일화 부르르 제로사이다 250ml.jpg
일화 맥콜 제로 250ml,"탄산음료/그외 음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 5kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\일화 맥콜 제로 250ml.jpg
이그니스 그로서리 서울 클룹 애사비소다 오리지널 500ml,포장형태: 페트/500ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\이그니스 그로서리 서울 클룹 애사비소다 오리지널 500ml.jpg
코카콜라음료 코카콜라 제로 레몬 355ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로 레몬 355ml.jpg
동아오츠카 나랑드 사이다 제로 그린애플 245ml,탄산음료/사이다/포장형태: 캔/제로칼로리/박스/1회 제공량 245ml당 열량: 0kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg/알룰로오스: 0.51g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로 그린애플 245ml.jpg
일화 탑씨 제로 파인애플 1.5L,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/나트륨: 15mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\일화 탑씨 제로 파인애플 1.5L.jpg
코카콜라 몬스터 에너지 울트라 피치 킨 355ml,포장형태: 캔/355ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라 몬스터 에너지 울트라 피치 킨 355ml.jpg
웅진 초록매실 스파클링 제로 350ml,포장형태: 페트/350ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\웅진 초록매실 스파클링 제로 350ml.jpg
동원F&B 보성홍차 아이스티 제로 복숭아 500ml,"차음료/홍차음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동원F&B 보성홍차 아이스티 제로 복숭아 500ml.jpg
코카콜라 토레타 제로 900ml,포장형태: 페트/900ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라 토레타 제로 900ml.jpg
