Id,Name,Type,Price,Mall,Timestamp
웅진식품 잘빠진 옥수수수염차 500ml,1,11660,15몰,20개,"차음료/곡물음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
동아오츠카 데자와 로얄밀크티 240ml,2,17190,89몰,30개,"차음료/홍차음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 240ml당 열량: 95kcal/탄수화물: 18g/당류: 14g/단백질: 2g/지방: 1.8g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 4mg/나트륨: 0mg"
웅진식품 하늘보리 500ml,1개,610,35몰,122원/100ml,차음료/곡물음료/포장형태: 페트
동원F&B 보성녹차 350ml,20개,15570,2몰,222원/100ml,"차음료/녹차음료/포장형태: 페트/
[영양정보] 1회 제공량 350ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
광동제약 힘찬하루 헛개차 340ml,12개,9900,36몰,243원/100ml,"차음료/포장형태: 페트/
[영양정보] 1회 제공량 340ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
롯데칠성음료 솔의눈 240ml,6개,3540,5몰,246원/100ml,"차음료/기타차음료/포장형태: 캔/
[영양정보] 1회 제공량 240ml당 열량: 75kcal/탄수화물: 19g/당류: 19g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg"
농심 카프리썬 알래스카 아이스티 200ml,10개,4990,1몰,250원/100ml,"차음료/홍차음료/포장형태: 파우치/
[영양정보] 1회 제공량 200ml당 열량: 60kcal/탄수화물: 15g/당류: 14g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
롯데칠성음료 홍차의꿈 실론티 레몬 240ml,90개,45900,1몰,213원/100ml,"차음료/홍차음료/포장형태: 캔/
[영양정보] 1회 제공량 240ml당 열량: 72kcal/탄수화물: 17g/당류: 14g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
동원F&B 정성껏 빚은 정식혜 238ml,48개,18260,19몰,160원/100ml,"차음료/식혜/포장형태: 캔/
[영양정보] 1회 제공량 238ml당 열량: 85kcal/탄수화물: 21g/당류: 21g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
광동제약 V라인 옥수수수염차 340ml,40개,26240,95몰,193원/100ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 340ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg"
