Name,Spec,ImageURL
일리 네스프레소 호환 골라담기,캡슐커피/맛: 에스프레소/사용머신: 네스프레소,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 네스프레소 호환 골라담기.jpg
일리 모노아라비카 콜롬비아 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 100개,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 모노아라비카 콜롬비아 싱글플로우팩 캡슐커피.jpg
일리 머신 전용 싱글 커피캡슐 7종 맛선택 총100캡슐,캡슐커피/사용머신: 일리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 머신 전용 싱글 커피캡슐 7종 맛선택 총100캡슐.jpg
일리 클라시코 미디엄 싱글 플로우팩 100개입,캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 100개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 미디엄 싱글 플로우팩 100개입.jpg
네슬레 스타벅스 앳홈 네스프레소 골라담기 (해외),"캡슐커피/맛: 에스프레소/사용머신: 네스프레소/구성: 블론드(강도6), 파이크 플레이스(강도7), 싱글오리진 콜롬비아(강도7), 하우스 블렌드(강도8), 카페 베로나(강도10), 에스프레소 로스트(강도11), 디카페인 에스프레소 로스트(강도11)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 네스프레소 골라담기 (해외).jpg
일리 인텐소 다크 18개입,캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 108개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 인텐소 다크 18개입.jpg
일리 네스프레소 호환 인텐소 에스프레소 10개입,캡슐커피/맛: 에스프레소/사용머신: 네스프레소/총량: 10개입/중량: 5.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 네스프레소 호환 인텐소 에스프레소 10개입.jpg
네슬레 스타벅스 앳홈 하우스 블렌드 12개입,캡슐커피/맛: 에스프레소/사용머신: 돌체구스토/총량: 48개입/중량: 8.5g/풍부함&토피넛향,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 하우스 블렌드 12개입.jpg
일리 과테말라 캡슐커피 18개입,캡슐커피/맛: 에스프레소/사용머신: 일리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 과테말라 캡슐커피 18개입.jpg
스타벅스 캡슐커피 10캡슐 골라담기 by 네스프레소[1박스],캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\스타벅스 캡슐커피 10캡슐 골라담기 by 네스프레소[1박스].jpg
일리 클라시코 미디엄 18개입,캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 18개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 미디엄 18개입.jpg
스타벅스 돌체구스토 캡슐커피 48개 코스트코,캡슐커피/사용머신: 네스프레소,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\스타벅스 돌체구스토 캡슐커피 48개 코스트코.jpg
일리 디카프 디카페인 싱글 플로우팩 1개입,캡슐커피/맛: 디카페인/사용머신: 일리/총량: 100개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 디카프 디카페인 싱글 플로우팩 1개입.jpg
일리 네스프레소 호환 디카페인 10개입,캡슐커피/맛: 디카페인/사용머신: 네스프레소/총량: 10개입/중량: 5.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 네스프레소 호환 디카페인 10개입.jpg
네슬레 스타벅스 앳홈 하우스 블렌드 룽고 10개입,캡슐커피/맛: 에스프레소/사용머신: 네스프레소/총량: 60개입/중량: 5.7g/풍부함&토피넛 노트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 하우스 블렌드 룽고 10개입.jpg
일리 클라시코 룽고 싱글 플로우팩 1개입,캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 100개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 룽고 싱글 플로우팩 1개입.jpg
네슬레 네스카페 돌체구스토 리스트레토 아덴자 16캡슐[1박스],캡슐커피/사용머신: 돌체구스토,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 리스트레토 아덴자 16캡슐[1박스].jpg
네슬레 네스카페 돌체구스토 카페 아메리카노 30개입,캡슐커피/맛: 아메리카노/사용머신: 돌체구스토/총량: 30개입/중량: 10g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 카페 아메리카노 30개입.jpg
던킨도너츠 커피 디즈니X N머신 호환 캡슐커피 5종 100개 골라담기 에스프레소 센트럴파크 등,캡슐커피/사용머신: 네스프레소,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\던킨도너츠 커피 디즈니X N머신 호환 캡슐커피 5종 100개 골라담기 에스프레소 센트럴파크 등.jpg
네슬레 스타벅스 앳홈 싱글 오리진 콜롬비아 12개입,캡슐커피/맛: 에스프레소/사용머신: 돌체구스토/총량: 60개입/중량: 5.5g/조화로움&견과향,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 싱글 오리진 콜롬비아 12개입.jpg
일리 네스프레소 호환 클라시코 100캡슐,캡슐커피/사용머신: 네스프레소,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 네스프레소 호환 클라시코 100캡슐.jpg
일리 에티오피아 캡슐커피,원두커피/캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 18개,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 에티오피아 캡슐커피.jpg
투썸플레이스 에이리스트 캡슐커피 마일드블렌드 10개입,캡슐커피/맛: 아메리카노/사용머신: 네스프레소/총량: 40개입/중량: 5.2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\투썸플레이스 에이리스트 캡슐커피 마일드블렌드 10개입.jpg
네슬레 네스프레소 캡슐커피 세트,캡슐커피/맛: 기타/사용머신: 버츄오/총량: 50개,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스프레소 캡슐커피 세트.jpg
일리 클라시코 룽고 21개입,캡슐커피/맛: 에스프레소/사용머신: 일리프란시스/총량: 21개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 룽고 21개입.jpg
네슬레 네스카페 돌체구스토 룽고 16개입,캡슐커피/맛: 에스프레소/사용머신: 돌체구스토/총량: 48개입/중량: 7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 룽고 16개입.jpg
네슬레 네스프레소 버츄오 스토미오 캡슐커피 12.5g 10개입 2개,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스프레소 버츄오 스토미오 캡슐커피 12.5g 10개입 2개.jpg
네슬레 스타벅스 앳홈 에스프레소 로스트 12개입,캡슐커피/맛: 에스프레소/사용머신: 돌체구스토/총량: 12개입/중량: 5.5g/리치함&카라멜향,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 에스프레소 로스트 12개입.jpg
일리 필터 미디움 캡슐커피 7.2g 18개입 5개,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 필터 미디움 캡슐커피 7.2g 18개입 5개.jpg
네슬레 네스카페 돌체구스토 룽고 디카페인 16개입,캡슐커피/맛: 룽고디카페인/사용머신: 돌체구스토/총량: 32개입/중량: 7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 룽고 디카페인 16개입.jpg
네슬레 네스카페 돌체구스토 아메리카노 캡슐커피,캡슐커피/맛: 아메리카노/사용머신: 돌체구스토/총량: 80개/캡슐 중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 아메리카노 캡슐커피.jpg
일리 아라비카 셀렉션 에티오피아 21개입,캡슐커피/맛: 에스프레소/사용머신: 일리프란시스/총량: 21개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 아라비카 셀렉션 에티오피아 21개입.jpg
일리 콜롬비아 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 콜롬비아 싱글플로우팩 캡슐커피.jpg
스타벅스 디카프 에스프레소 로스트 by 네스프레소 캡슐커피 5.7g 10개입 6개,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\스타벅스 디카프 에스프레소 로스트 by 네스프레소 캡슐커피 5.7g 10개입 6개.jpg
네슬레 네스카페 돌체구스토 카페 아메리카노 16개입,캡슐커피/맛: 아메리카노/사용머신: 돌체구스토/총량: 16개입/중량: 10g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스카페 돌체구스토 카페 아메리카노 16개입.jpg
동서식품 카누 와일드 워터폴 10개입,캡슐커피/맛: 에스프레소/사용머신: 카누 바리스타/총량: 60개입/중량: 9.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\동서식품 카누 와일드 워터폴 10개입.jpg
일리 클라시코 캡슐커피 10개입,캡슐커피/맛: 에스프레소/캡슐 총량: 10개/'일리'호환,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 캡슐커피 10개입.jpg
동서식품 카누 볼드 다크 로스트 10개입,캡슐커피/맛: 에스프레소/사용머신: 네스프레소/총량: 40개입/중량: 5.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\동서식품 카누 볼드 다크 로스트 10개입.jpg
동서식품 맥심 카누 조이풀 스노우 10개입,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\동서식품 맥심 카누 조이풀 스노우 10개입.jpg
일리 18캡슐 팩 코스타리카,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 18캡슐 팩 코스타리카.jpg
네슬레 스타벅스 앳홈 베란다 블렌드 12개입,캡슐커피/맛: 에스프레소/사용머신: 돌체구스토/총량: 12개입/중량: 8.5g/부드러움&코코아,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 스타벅스 앳홈 베란다 블렌드 12개입.jpg
일리 coffee 싱글 플로우팩 아라비카 셀렉션 7종,캡슐커피/사용머신: 일리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 coffee 싱글 플로우팩 아라비카 셀렉션 7종.jpg
일리 클라시코 미디엄 18개입 (해외),캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 18개입/중량: 6.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\일리 클라시코 미디엄 18개입 (해외).jpg
동서식품 맥심 카누 바리스타 머신 전용 캡슐커피 케어링스타 디카페인 9.5g 40개,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\동서식품 맥심 카누 바리스타 머신 전용 캡슐커피 케어링스타 디카페인 9.5g 40개.jpg
네슬레 네스프레소 버츄오 볼테소 캡슐커피 5.2g 10개입 3개,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\캡슐커피\네슬레 네스프레소 버츄오 볼테소 캡슐커피 5.2g 10개입 3개.jpg
