Id,Name,Type,Price,Mall,Timestamp
UCC 블랜드 114 90g,1,6090,6몰,1개,인스턴트커피/아메리카노/분말/용기형
UCC 블랜드 117 90g,1개,5980,3몰,664원/10g,인스턴트커피/아메리카노/분말/용기형
동서식품 맥스웰하우스 커피믹스 마일드 아로마 900g,2,4590,27몰,1개,인스턴트커피/커피믹스/분말/리필형
동서식품 맥심 화이트골드 커피믹스 100T,2개,26120,29몰,131원/1T,인스턴트커피/커피믹스/분말/스틱형/총량: 100T/중량: 11.7g
동서식품 맥심 화이트골드 커피믹스 20T,3개,11990,12몰,200원/1T,인스턴트커피/커피믹스/분말/스틱형/총량: 20T/중량: 11.7g
동서식품 맥심 화이트골드 커피믹스 20T,24개,95900,1몰,200원/1T,인스턴트커피/커피믹스/분말/스틱형/총량: 20T/중량: 11.7g
동서식품 맥심 화이트골드 커피믹스 180T,4개,89340,27몰,124원/1T,인스턴트커피/커피믹스/분말/스틱형/총량: 180T/중량: 11.8g
동서식품 맥심 화이트골드 커피믹스 50T,18개,152930,5몰,170원/1T,인스턴트커피/커피믹스/분말/스틱형/총량: 900T/중량: 11.8g
동서식품 맥심 모카골드 마일드 500g,12개,190890,63몰,318원/10g,인스턴트커피/커피믹스/분말/리필형
동서식품 맥심 디카페인 175g,8개,102300,1몰,731원/10g,인스턴트커피/아메리카노/분말/용기형
이과수 커피 200g (캔),6개,89780,7몰,748원/10g,인스턴트커피/아메리카노/분말/용기형
동서식품 맥심 모카골드 마일드 170g,16개,145390,2몰,535원/10g,인스턴트커피/아메리카노/분말/리필형
동서식품 맥심 카누 디카페인 아메리카노 미니 30T,5개,40860,1몰,272원/1T,인스턴트커피/아메리카노/분말/스틱형/총량: 30T/중량: 0.9g
동서식품 맥심 카페 카라멜향 마끼아또 10T,10개,36500,1몰,365원/1T,"인스턴트커피/커피믹스/분말/스틱형/총량: 100T/중량: 13g/원재료: 인스턴트커피 7.7%, 백설탕, 탈지분유, 카라멜향"
