Id,Name,Type,Price,Mall,Timestamp
스타벅스 카페라떼 200ml,1개,1680,21몰,840원/100ml,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 200ml당 열량: 160kcal/탄수화물: 17g/당류: 15g/단백질: 5g/지방: 8g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 70mg"
스타벅스 프라푸치노 오리지널 281ml,2,2010,13몰,1개,"커피음료/카페라떼/병/
[영양정보]/1회 제공량 281ml당 열량: 175kcal/탄수화물: 32g/당류: 30g/단백질: 5g/지방: 3.2g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 110mg"
스타벅스 프라푸치노 모카 281ml,4개,9290,15몰,827원/100ml,"커피음료/카페라떼/맛: 모카(초콜릿)/병/
[영양정보]/1회 제공량 281ml당 열량: 160kcal/탄수화물: 27g/당류: 27g/단백질: 5g/지방: 3.3g/포화지방: 2.1g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 120mg"
스타벅스 프라푸치노 오리지널 281ml,1,34490,40몰,16개,"커피음료/카페라떼/병/
[영양정보]/1회 제공량 281ml당 열량: 175kcal/탄수화물: 32g/당류: 30g/단백질: 5g/지방: 3.2g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 110mg"
팔도 산타페 오리지날 175ml,30개,7190,3몰,137원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 175ml당 열량: 75kcal/탄수화물: 16g/당류: 15g/단백질: 2g/지방: 1g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 60mg"
코카콜라음료 조지아 카페라떼 240ml,6개,3630,3몰,252원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 118kcal/탄수화물: 23g/당류: 18g/단백질: 2g/지방: 2g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 79mg"
스타벅스 더블샷 아메리카노 200ml,24개,29030,1몰,605원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 200ml당 열량: 65kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg"
롯데칠성음료 레쓰비 마일드 커피 175ml,90개,29850,123몰,190원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 175ml당 열량: 55kcal/탄수화물: 12g/당류: 12g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 85mg"
롯데푸드 칸타타 스위트 블랙 275ml,20개,21390,14몰,389원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 50kcal/탄수화물: 12g/당류: 10g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 130mg"
코카콜라음료 조지아 오리지널 240ml,10개,2390,35몰,100원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 94kcal/탄수화물: 21g/당류: 18g/단백질: 1g/지방: 0.7g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 2mg/나트륨: 58mg"
동서식품 맥심 티오피 더블랙 200ml,15개,7750,5몰,258원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 200ml당 열량: 4kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
동서식품 맥심 티오피 더블랙 275ml,5개,7920,1몰,576원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 8kcal/탄수화물: 2g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg"
동서식품 맥심 티오피 스위트 아메리카노 275ml,16개,17900,1몰,407원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 48kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg"
동서식품 맥심 티오피 더블랙 200ml,36개,21160,34몰,294원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 200ml당 열량: 4kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
스타벅스 더블샷 에스프레소&크림 275ml,12개,26260,42몰,796원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 275ml당 열량: 165kcal/탄수화물: 28g/당류: 27g/단백질: 5.2g/지방: 3.3g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 115mg"
에슬로우 더치커피 250g,3개,64390,1몰,"8,585원/100g",커피음료/아메리카노/병
카페베네 콜드브루 블렌드 375ml,2개,10500,1몰,"1,400원/100ml","커피음료/아메리카노/병/
[영양정보]/1회 제공량 30ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
동아오츠카 디앤카페 오리지널 175ml,60개,14490,22몰,138원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 175ml당 열량: 40kcal/탄수화물: 8g/당류: 7g/단백질: 0g/지방: 0.6g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 85mg"
스타벅스 파이크 플레이스 로스트 블랙커피 275ml,8개,15240,10몰,693원/100ml,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 10kcal/탄수화물: 1g미만/당류: 0g/단백질: 1g미만/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
동서식품 맥심 티오피 마스터 라떼 380ml,40개,47000,14몰,309원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 100ml당 열량: 42kcal/탄수화물: 7g/당류: 7g/단백질: 1g미만/지방: 1.1g/포화지방: 0.8g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 20mg"
스타벅스 더블샷 에스프레소&크림 200ml,18개,20360,112몰,566원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 200ml당 열량: 115kcal/탄수화물: 20g/당류: 20g/단백질: 3.8g/지방: 2.4g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 85mg"
동원F&B 다방커피 카라멜 250ml,48개,35640,2몰,297원/100ml,"커피음료/카페라떼/맛: 캐러멜/컵/
[영양정보]/1회 제공량 250ml당 열량: 245kcal/탄수화물: 38g/당류: 28g/단백질: 1g/지방: 10g/포화지방: 9g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 170mg"
쟈뎅 시그니처 아메리카노 블랙 230ml,50개,29400,10몰,256원/100ml,"커피음료/아메리카노/파우치/
[영양정보]/1회 제공량 230ml당 열량: 7kcal/탄수화물: 1g/당류: 22g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 65mg"
롯데칠성음료 레쓰비 카페타임 라떼 240ml,120개,66660,5몰,231원/100ml,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 95kcal/탄수화물: 20g/당류: 20g/단백질: 2g/지방: 0.9g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 100mg"
