Name,Spec,ImageURL
더본코리아 백종원의 만능 장아찌 간장소스 1.8L,"소스/드레싱/시럽/소스/기타소스/보관방법: 실온보관/탈지대두(외국산), 정제소금(국내산)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\더본코리아 백종원의 만능 장아찌 간장소스 1.8L.jpg
오뚜기 프레스코 토마토 스파게티소스 600g,소스/드레싱/시럽/소스/파스타소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\오뚜기 프레스코 토마토 스파게티소스 600g.jpg
오뚜기 고소한 골드 마요네스 800g,소스/드레싱/시럽/소스/마요네즈/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\오뚜기 고소한 골드 마요네스 800g.jpg
오뚜기 고소한 골드 마요네스 3.2kg (스파우트팩),소스/드레싱/시럽/소스/마요네즈/보관방법: 실온보관/대용량(업소용)/식물성유지(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\오뚜기 고소한 골드 마요네스 3.2kg (스파우트팩).jpg
캠벨 킴벨 칠리소스 3.3kg,소스/드레싱/시럽/소스/칠리 소스/보관방법: 실온보관/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\캠벨 킴벨 칠리소스 3.3kg.jpg
삼양식품 자이언트 불닭소스 2kg,소스/드레싱/시럽/소스/불닭소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\삼양식품 자이언트 불닭소스 2kg.jpg
대화엠피 갈릭 칠리 페이스트 280g,소스/드레싱/시럽/소스/칠리 소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\대화엠피 갈릭 칠리 페이스트 280g.jpg
후이퐁푸드 스리라차 핫 칠리 시즈닝 793g,소스/드레싱/시럽/소스/칠리 소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\후이퐁푸드 스리라차 핫 칠리 시즈닝 793g.jpg
대상 청정원 프리미엄 굴소스 500g,소스/드레싱/시럽/소스/굴소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\대상 청정원 프리미엄 굴소스 500g.jpg
CJ제일제당 다담 바지락 순두부찌개양념 2kg,소스/드레싱/시럽/소스/찌개양념,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\CJ제일제당 다담 바지락 순두부찌개양념 2kg.jpg
CJ제일제당 백설 매콤 돼지불고기 양념 10kg,소스/드레싱/시럽/소스/고기양념/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\CJ제일제당 백설 매콤 돼지불고기 양념 10kg.jpg
대상 쉐프원 토마토파스타소스 2kg,"소스/드레싱/시럽/소스/파스타소스/보관방법: 냉장보관/토마토페이스트(중국산), 양파(국내산), 정제소금(국내산) 등",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\대상 쉐프원 토마토파스타소스 2kg.jpg
오뚜기 프레스코 스파게티소스 미트 600g,소스/드레싱/시럽/소스/파스타소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\오뚜기 프레스코 스파게티소스 미트 600g.jpg
오뚜기 토마토케찹 9g,소스/드레싱/시럽/소스/케찹/보관방법: 실온보관/일회용,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\오뚜기 토마토케찹 9g.jpg
푸드코리아 미담채 캡사이신 매운맛 소스 550g,소스/드레싱/시럽/소스/캡사이신/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\푸드코리아 미담채 캡사이신 매운맛 소스 550g.jpg
샘표식품 폰타나 나폴리 뽀모도로 토마토 파스타 소스 1.5kg,"소스/드레싱/시럽/소스/파스타소스/보관방법: 냉장보관/대용량(업소용)/카놀라유(호주산), 마늘(국내산), 올리브유(스페인산)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\케찹_소스_드레싱\샘표식품 폰타나 나폴리 뽀모도로 토마토 파스타 소스 1.5kg.jpg
