Id,Name,Type,Price,Mall,Timestamp
일화 초정탄산수 1.5L,1개,1070,50몰,71원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스"
일화 초정탄산수 1.5L,1,11840,92몰,12개,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스"
일화 초정탄산수 1.5L,2,28560,36몰,24개,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스"
롯데칠성음료 트레비 라임 355ml,48개,24950,22몰,146원/100ml,"탄산음료/탄산수/포장형태: 캔/박스/원재료: 정제수, 탄산가스, 천연라임향"
네슬레워터스 페리에 라임 330ml,4개,5230,6몰,396원/100ml,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스, 천연라임향, 천연오렌지향"
산펠레그리노 탄산수 500ml,24개,34880,21몰,291원/100ml,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 탄산가스"
롯데칠성음료 트레비 라임 500ml,20개,14730,30몰,147원/100ml,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 탄산가스, 천연라임향"
롯데칠성음료 트레비 라임 355ml,6개,5520,3몰,259원/100ml,"탄산음료/탄산수/포장형태: 캔/박스/원재료: 정제수, 탄산가스, 천연라임향"
롯데칠성음료 트레비 플레인 500ml,10개,11850,1몰,237원/100ml,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 탄산가스"
롯데칠성음료 트레비 플레인 500ml,40개,31260,6몰,156원/100ml,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 탄산가스"
네슬레워터스 페리에 라임 330ml,12개,26400,3몰,667원/100ml,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스, 천연라임향, 천연오렌지향"
롯데칠성음료 트레비 플레인 190ml,2개,910,7몰,239원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
롯데칠성음료 트레비 플레인 190ml,30개,8890,59몰,156원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
COSMOS BREWERY 창 소다워터 325ml,5개,8500,2몰,523원/100ml,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스"
일화 초정탄산수 500ml,3개,2230,5몰,149원/100ml,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 탄산가스"
스파클 스파클링 워터 350ml,60개,25970,19몰,124원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 레몬농축액"
일화 초정탄산수 플레인 190ml,90개,27820,35몰,163원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
웅진식품 빅토리아 레몬 350ml,72개,30180,2몰,120원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스, 천연레몬향"
엔에스크리스탈 시그너스 플레인 500ml,100개,74850,9몰,15원/10ml,탄산음료/탄산수/포장형태: 페트
코카콜라음료 씨그램 플레인 350ml,18개,13900,1몰,221원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스"
웅진식품 빅토리아 복숭아향 500ml,80개,39110,2몰,98원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 복숭아향"
일화 초정탄산수 플레인 190ml,120개,38080,7몰,167원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
일화 초정탄산수 플레인 190ml,150개,47600,7몰,167원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
일화 초정탄산수 1.5L,36개,48960,9몰,91원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스"
네슬레워터스 페리에 라임 330ml,8개,9970,1몰,378원/100ml,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스, 천연라임향, 천연오렌지향"
롯데칠성음료 트레비 플레인 190ml,15개,9290,3몰,326원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
웅진식품 빅토리아 플레인 350ml,96개,44090,2몰,131원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 탄산가스"
에이치케이이노엔 리프레즈 스파클링 워터 플레인 190ml,180개,45130,12몰,132원/100ml,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 이산화탄소"
웅진 빅토리아 초록매실 500ml 20개 + 내사랑유자C 500ml 20개,1세트,15220,2몰,,탄산수세트/탄산수
일화 초정 탄산 그린애플 350ml,168개,115840,4몰,197원/100ml,탄산수/탄산수/포장형태: 페트
웰치스 포도 미니페트 300ml,247원/100ml,740,1몰,,환타·웰치스/탄산수
나랑드사이다 245ml CAN 2박스 3종,"9,208원/100ml",22560,9몰,,탄산수
G 나랑드사이다 1.25L PET 1박스,"1,127원/100ml",14090,16몰,,탄산수
나랑드사이다 제로 그린애플 350ml 20개 + 파인애플 350ml 20개,176원/100ml,24640,7몰,,탄산수/포장형태: 페트/350ml/제로칼로리
웰치스 딸기맛 355ml x24캔 음료수 탄산음료 캔음료,"4,448원/100ml",15790,3몰,,환타·웰치스/탄산수
대일F&B 참맑은 쿨 사이다 185ml x 30캔 음료수 캔음료,"4,114원/100ml",7610,11몰,,탄산수
웰치스 소다 포도 3개 1.5L,172원/100ml,7730,6몰,,환타·웰치스/탄산수
G 나랑드사이다 350ML 20입 3박스 플레인 파인애플 그린애플,"8,454원/100ml",29590,21몰,,탄산수
산가리아 라무네 사이다 보틀 500ml x 6개,385원/100ml,11560,5몰,,탄산수
웰치스 소다 딸기 355ml 24캔X2개 총48캔,"8,186원/100ml",29060,3몰,,환타·웰치스/탄산수
광동제약 비타500F 240ml 캔 x 30,,18360,5몰,,콜라/탄산수
웅진식품 빅토리아 밸런스핏 500ml,160개,192340,3몰,240원/100ml,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 합성향료(트로피칼향, 레몬라임향), L-카르니틴"
웅진 빅토리아 탄산수 탄산음료 500ml 40펫 8종 중 택2,"3,860원/100ml",19300,3몰,,탄산수
광동제약 330ml x 40펫 무 유라벨 랜덤,"6,133원/100ml",20240,1몰,,탄산수
라인바싸 자몽 500ml x 20페트 x 2박스,"5,420원/100ml",27100,2몰,,탄산수
풀무원 브리지톡 플레인 탄산수 eco 500ml 20개 + 레몬 500ml 20개,85원/100ml,16970,6몰,,탄산수/포장형태: 페트/500ml
웅진 빅토리아 청귤 500ml x 20개 + 딸기 500ml x 20개,76원/100ml,15220,1몰,,탄산수/포장형태: 페트/500ml
인테이크 슈가로로 코코제로 4종 혼합,"3,209,000원/100ml",32090,2몰,,탄산수/포장형태: 페트/340ml/제로칼로리
광동제약 비타500 로열폴리스 120ml x 20병,"13,242원/100ml",15890,4몰,,탄산수
웅진 더 빅토리아 플레인 500ml 40개 + 라임 500ml 20개,86원/100ml,25800,1몰,,탄산수/포장형태: 페트/500ml
라인바싸 탄산수 500ml 5종 20개,92원/100ml,9190,1몰,,탄산수/포장형태: 페트/500ml
에이치케이이노엔 헛개컨디션 100mL 10병,"32,310원/100ml",32310,6몰,,탄산수
오틀리 초콜릿 귀리음료 1L 6개,850원/100ml,50970,1몰,,탄산수
웅진 더 빅토리아 청귤 500ml 20개 + 자몽 500ml 20개,93원/100ml,18630,1몰,,탄산수/포장형태: 페트/500ml
롯데칠성음료 라임 500ml,54개,83600,12몰,310원/100ml,탄산수/포장형태: 페트/500ml
롯데칠성음료 무라벨 라임 350ml,140개,가격비교예정,0몰,,탄산수
