Id,Name,Type,Price,Mall,Timestamp
한국인삼공사 정관장 홍삼톤 골드 40ml 30포,1,115820,103몰,1개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 10.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼정환 168g,2,94160,45몰,2개,"홍삼/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 3.2mg, 1일 3회, 1회 5환/
[진세노사이드 일일섭취량] 3.2mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 36.15%(고형분 64%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼정환 168g,3개,155750,20몰,"3,090원/10g","홍삼/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 3.2mg, 1일 3회, 1회 5환/
[진세노사이드 일일섭취량] 3.2mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 36.15%(고형분 64%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 양삼10지 600g,1개,804100,5몰,"13,402원/10g","홍삼/형태: 생삼,뿌리/섭취대상: 성인남녀/
[원재료/함량] 홍삼 100%"
종근당건강 어린이 홍삼 20ml 30포,2개,62380,29몰,520원/10ml,"홍삼/형태: 농축액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회/
[진세노사이드 일일섭취량] 4.5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
고려홍삼중앙회 6년근 홍삼정원 플러스 250g,4개,74000,1몰,740원/10g,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회/
[원재료/함량] 원재료: 6년근/홍삼농축액 10.25%"
청우식품 고려홍삼제리 350g,10개,42440,1몰,121원/10g,"홍삼/형태: 젤리/섭취대상: 성인남녀/
[원재료/함량] 홍삼농축액 0.2%, 고형분 60%"
한국인삼공사 정관장 홍삼정 마일드 센스 10ml 30포,6개,222200,22몰,"1,234원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 15%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼정 마일드 센스 10ml 30포,8개,282770,6몰,"1,178원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 15%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
고려원인삼 고려원 인삼차 3g 100포,30개,224630,18몰,749원/10g,"인삼/형태: 차/섭취대상: 성인남녀/섭취횟수, 양: 1회 1~2포/
[원재료/함량] 인삼농축액 8%(고형분 60%, 인삼사포닌 80mg/g)"
천지양 뿌리깊은 6년근 홍삼정 골드스틱 10ml 10포,5개,85900,1몰,"1,718원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 10%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼활력보 250g,12개,719990,2몰,"2,400원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 10g/
[진세노사이드 일일섭취량] 3.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 10.2%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
청우식품 고려홍삼제리 350g,7개,30150,1몰,123원/10g,"홍삼/형태: 젤리/섭취대상: 성인남녀/
[원재료/함량] 홍삼농축액 0.2%, 고형분 60%"
한국인삼공사 정관장 홍삼진고 100g,9개,139730,25몰,"1,552원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 아이키커 사과 100ml,100개,80100,4몰,80원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%)"
한국인삼공사 정관장 아이키커 사과 100ml,40개,33950,12몰,85원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%)"
한국인삼공사 정관장 아이키커 사과 100ml,20개,17490,11몰,87원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%)"
한국인삼공사 정관장 아이키커 사과 100ml,50개,41600,6몰,83원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%)"
한국인삼공사 정관장 홍삼정 에브리타임 밸런스 핏 10ml,14개,30780,22몰,"2,199원/10ml","홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼농축액 21%(고형분 64%, 홍삼성분 70mg/g 이상)"
한국인삼공사 정관장 홍삼진고 100g,11개,169040,43몰,"1,537원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼진고 100g,15개,223490,29몰,"1,490원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼진고 100g,18개,286700,18몰,"1,593원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼진고 100g,17개,310590,5몰,"1,827원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼진고 100g,16개,292290,9몰,"1,827원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
풍년보감 고려홍삼정 에브리데이 골드 10g,80개,32900,1몰,411원/1포,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼추출액 15%(고형분 2% 이상)"
한국인삼공사 정관장 홍삼진고 100g,19개,286390,14몰,"1,507원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/
[진세노사이드 일일섭취량] 10mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 11.35%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼 유통공사 9204 산양산삼 장뇌삼 6년 이상 5뿌리 + 금보자기,,150300,3몰,,
유심영농조합 국내산 토종 산양삼 5년근 10뿌리,"64,500원/1개",50460,2몰,,장뇌삼/국산
칠봉산산양산삼농원 칠봉산 산양삼 7년근 3뿌리,"79,420원/1개",79420,3몰,,장뇌삼/국산
삼모아 삼모아 장뇌산삼 10년근산[10뿌리],"59,999원/1뿌리",576000,2몰,,장뇌삼/국산
"명가일품 명가천삼 강원도 토종 VIP품격 산양삼 선물세트[20뿌리,1세트]","4,418원/1뿌리",88350,3몰,,"장뇌삼/형태: 생삼,뿌리/특징: 선물세트/국산"
"명가일품 명가천삼 강원도 토종 VIP품격 산양삼 선물세트[8뿌리,1세트]","7,825원/1뿌리",62600,1몰,,"장뇌삼/형태: 생삼,뿌리/특징: 선물세트/국산"
