Name,Spec
2024-10-17 19:41:06
닥터바른 다이너티 올인원 이뮨 다이어트 7병,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1병/형태: 음료(액상)/건강기능식품/기능성: 면역력 증진, 영양보충, 체지방감소, 피부 건강, 혈중 콜레스테롤 개선"
더블유라이프앤케어 네츄럴웨이 모어네이처 이지슬림 에브리컷 다이어트 28포,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1포/형태: 캡슐,정/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소, 피부 건강, 항산화, 혈중 콜레스테롤 개선"
지니트레저 김오곤 원장의 한방 다이어트 환 28포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소"
그린핏 그린핏 차전자피 다이어트 18포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소"
퍼플랩스헬스케어 세리박스 세리컷 스타터 샤이닝 +블루밍,가르시니아(HCA)
천호엔케어 감비책환 4.5g 20포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/기능성: 체지방감소"
코스맥스엔비티 니씨드 오늘컷 맥스 30포,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소, 혈중 콜레스테롤 개선"
대원제약 장대원 체지방컷 가르시니아 60정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 혈중 콜레스테롤 개선"
비오팜 에버핏 가르시니아 1004 112정,"가르시니아(HCA)/아연/섭취횟수, 양: 1일 2회, 1정/형태: 캡슐,정/건강기능식품/기능성: 면역력 증진, 체지방감소"
GC녹십자웰빙 가르시니아 다이어트 2000mg 14포,"가르시니아(HCA)/비오틴/섭취횟수, 양: 1일 1회, 1포/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 피부 건강, 혈중 콜레스테롤 개선"
스마트인핸서 미완성프로젝트 탄수화물컷팅제 비밀이야 가르시니아 보조제 900mg 84정,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 2정/형태: 캡슐,정/건강기능식품/GMP/기능성: 면역력 증진, 체지방감소, 항산화, 혈중 콜레스테롤 개선"
순수식품 다이어트 유산균 19종 3중복합기능성 30포,"가르시니아(HCA)/보장균수(CFU): 10억 CFU/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소"
코스맥스바이오 푸드올로지 콜레올로지 쾌변 젤리 10포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/기능성: 체지방감소"
닥터브라이언 밸런스핏 가르시니아&비타민B 120캡슐,"[주요성분] 가르시니아(HCA)/비타민B/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 4회, 1회 1캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg"
애플트리김약사네 악마다이어트 아쿠아 프로 파인애플맛 14포,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선"
애플트리김약사네 악마다이어트 아쿠아 프로 핑크피치맛 14포,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선"
애플트리김약사네 악마다이어트 아쿠아 프로 파인애플맛 1박스 + 피치맛 1박스,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선"
GRN 분홍이 슬림밸런스 & 비오틴 90정,"가르시니아(HCA)/비오틴/섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소"
금단미인 다이어트 탕 15g 14포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/건강기능식품/기능성: 체지방감소"
에스더포뮬러 여에스더 화이토릭스 팻블로커 가르시니아 90정,"가르시니아(HCA)/섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소"
한미양행 그린몬스터 다이어트 체지방 쑥 36정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소"
GRN 빨강이 다이어트 젤리 20g 14포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/기능성: 장 건강, 체지방감소"
비엘헬스케어 녹십자웰빙 PNT 가르시니아 60정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소"
아모레퍼시픽 바이탈뷰티 메타그린 칼로리컷 젤리 10포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회,1포/형태: 젤리/특징: 스틱형/기능성: 체지방감소"
네오팜 에버바이오 에버봄 하루비움 피티 10포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소"
노비스바이오 오라뷰 제로톡 가르시니아 콤부차 8g 15포,가르시니아(HCA)/형태: 분말형/특징: 스틱형
한풍네이처팜 에버비키니 키토시니아 112정,"가르시니아(HCA)/섭취대상: 여성, 남성/섭취횟수, 양: 1일 2회, 4정/섭취기간: 14일분/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소"
동서바이오팜 오늘부터 웰컷 5g 30포,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2포/건강기능식품/GMP/기능성: 장 건강, 체지방감소"
