Name,Spec
2024-10-17 20:23:24
아모레퍼시픽 바이탈뷰티 에너지샷 바디 앤 브레인 7입,"섭취대상:성인남녀/형태:액상형,캡슐,정/섭취방법:1일 1회, 1병/인증정보:건강기능식품/총복용기간:7일분/효능:에너지생산,호모시스테인유지,세포분열,적혈구생성 촉진,면역력,단백질 이용,콜레스테롤감소,항산화/비타민B1:12mg/비타민B2:7mg/비타민B6:15mg/비타민B12:24ug/비타민C 1일함량:100mg/나이아신:150mgNE/판토텐산:5mg/아연:8.5mg"
뉴트리딘 프리미엄 안심 마그네슘 315 플러스 800mg 60정,"마그네슘/섭취대상: 성인남녀/형태: 캡슐,정"
링티 아이 5.2g 10포,"섭취대상: 유아,청소년/특징: 스틱형"
노바렉스 데이즈온 원데이 올인원 800mg 30정,"멀티비타민/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 관절, 연골 건강, 눈 건강, 면역력 증진, 피부 건강, 항산화, 혈중 콜레스테롤 개선"
닥터스베스트 하이 앱솔션 철분 27mg 120정,"철분/섭취대상: 성인남녀/형태: 캡슐,정"
닥터스베스트 비타민 D3 1000 IU 180정,"비타민D/섭취대상: 성인남녀/형태: 캡슐,정"
우리이앤엘 하루틴 리포좀 비타민C 스틱 알파 3g 30포,비타민C/섭취대상: 성인남녀/특징: 스틱형
닥터체크 원퍼데이 트루 비타민C 30포,"비타민C/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 항산화"
닥터체크 원퍼데이 비타민D 츄어블 90정,"비타민D/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 3개월분/형태: 캡슐,정/건강기능식품/GMP/기능성: 관절, 연골 건강, 면역력 증진"
