Name,Spec
2024-10-17 20:19:05
SPC삼립 1A 우유식빵 380g,빵
소소락떡방 쑥개떡1kgx1개+약밥1kgx1개,떡
마루영농조합법인 영광모시로만 동부생떡 10봉 + 참깨 2봉,떡
서해푸드 서해한과 프리미엄 달빛세트 250g,한과/한과세트
소소락떡방 국내산찹쌀 소소락 쑥개떡 1kg + 콩쑥찹쌀떡 1kg,떡
모시올영농조합 영광 모싯잎 생 개떡 10개입 3봉,떡
고은모시송편 찐송편 통동부 1.2kg 20개입 + 찐송편 기피 1.2kg 20개입,떡
메드보니크 조각 케익 3종세트,케이크
시루원 우유백설기 45g 10개입,떡
김수미 삼색한과 선물세트 390g,"한과/한과세트/구성: 전통유과, 백년초유과, 뽕잎유과"
천년의빛영광 신지직송 영광 생 모시송편 모시떡 햇살,"떡/떡류/인증정보: HACCP/구성: 동부 60알, 검정깨 60알"
노란베이커리 단호박 홀케이크 680g[2개],케이크
홈플러스 몽블랑제 제주말차 생크림 초코 케이크 1호,케이크
신세계푸드 르세떼 크로아상 냉동 생지 크로플 2.25kg,빵/특징: 생지
해담한과 찹살혼합유과 선물세트 1kg,한과/유과/냉장보관
아미방 한과 달지않은 국내산 찹쌀 한과 선물세트 360g,한과/한과세트/인증정보: HACCP
세끼식탁 고급 한과 선물세트 550g,한과/한과세트/인증정보: HACCP
하효살롱협동조합 하효맘 제주 감귤 과즐 선물세트 960g,한과/한과세트/인증정보: HACCP
강릉은정한과 해당화 3단 선물세트 1.5kg,한과/한과세트/인증정보: HACCP
온미당 구운유과 조청유과 한과선물세트 461g,한과/한과세트
천만송이 천만송이 고향한과 한과선물세트 실속형 450g,한과/한과세트
온미당 구운유과 조청유과 한과선물세트 359g,"한과/한과세트/인증정보: HACCP/구성: 찹쌀유과, 백년초유과, 단호박유과, 미니약과, 통약과, 4색강정, 백년초산자, 단호박산자"
안복자한과 한과2호세트 676g,"한과/한과세트/구성: 강정(쌀,백년초,단호박,흑미), 쌀엿강정(백년초,뽕잎), 우리밀약과"
반달모싯잎송편 영광 생 모시송편 기피동부 25개입 1.2kg,떡
CJ제일제당 비비고 초코 붕어빵 300g,빵/붕어빵/300g
이마트 피코크 조선미식 새참 찹쌀도나쓰 300g,빵
수예당제과 화과자 특선종합세트,"냉동보관/구성: 화과자 10개, 일반만주 10개, 채미정과 5개, 특선만주 5개, 특선양갱 5개, 쁘띠케익 5개"
유앤아이엔젤스 피터래빗 쿠키&웨이퍼 5종 선물세트,
수예당제과 치즈 만주 6개,"화과자/인증정보: HACCP/알레르기성분: 대두, 밀, 계란, 우유/저염/냉동보관/표시기준분량: 100g/열량: 291kcal/탄수화물: 59g/당류: 31g/단백질: 6g/지방: 3g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 36mg"
수예당제과 어울림세트,"냉동보관/구성: 설화타르트 8개, 과일만주 8개, 화과자 2개, 쁘띠케이크 2개, 호두오메기떡 8개, 양갱 4개"
수예당제과 온정세트,"냉동보관/구성: 설화타르트6입, 과일만주3입, 호두오메기떡6입"
수예당제과 화과자1호,화과자/6개입/냉동보관
수예당제과 눈과 입을 사로 잡는 수예당 과수원1호세트,화과자/냉동보관
델포유 오븐에 구운 티그링 혼합 35g,빵
바오담 개성주악 개성약과 반반 6구 세트[1개],한과/한과세트
화순심은영농조합법인 옥수수 기장떡 80g,떡
공생장터 쑥 인절미 1kg + 콩고물 150g,떡
태양이엔에스 델포유 오븐에구운 십센치파운드 5종+티그링 5종,빵/케이크
100년나무 호두과자 적앙금 40개입,빵
이마트 노브랜드 클래식 마들렌 550g,빵/구움과자
홈플러스 시그니처 치즈 떡볶이떡 400g,떡/떡볶이떡
청주오믈렛 오븐에 구운 수제 도넛 45g 16개,빵/도넛
