Name,Spec
2024-10-17 20:13:36
제로식품 헤이씨리 오리지널 400g,"그래놀라 시리얼/무당/400g/인증정보: HACCP/알레르기성분: 대두, 호두, 우유/표시기준분량: 40g/열량: 145kcal/탄수화물: 21g/당류: 0g/단백질: 15g/지방: 3.6g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 220mg"
제로식품 헤이씨리 초코 400g,"그래놀라 시리얼/무당/400g/인증정보: HACCP/알레르기성분: 대두, 호두, 우유/표시기준분량: 40g/열량: 144kcal/탄수화물: 21g/당류: 0g/단백질: 15g/지방: 3.6g/포화지방: 1.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 215mg"
제로식품 헤이씨리 바나나 400g,"그래놀라 시리얼/무당/400g/인증정보: HACCP/알레르기성분: 대두, 호두, 우유/실온보관/표시기준분량: 40g/열량: 148kcal/탄수화물: 21g/당류: 0g/단백질: 15g/지방: 4.1g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 220mg"
오리온 오 그래놀라 다이제 초코츄러스 300g,그래놀라 시리얼
동서식품 포스트 크리치오 500g,"일반 시리얼/500g/알레르기성분: 대두, 밀, 돼지고기/표시기준분량: 100g/열량: 384kcal/탄수화물: 82g/당류: 24g/단백질: 5g/지방: 4g/포화지방: 3.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 470mg"
웰츄럴 하루꽉찬 통곡물 시리얼 현미 30g,일반 시리얼
웰츄럴 하루꽉찬 통곡물 시리얼 시트러스 30g,일반 시리얼
씨알로 당제로 통곡물 시리얼 300g,일반 시리얼
농심 켈로그 에너지바K 베리앤넛 30g,일반 시리얼
동서식품 포스트 동서 시리얼컵 3종세트 30g,일반 시리얼
이마트 발보아 수제 비정제 흑임자 그래놀라 200g,그래놀라 시리얼
산테 그래놀라 골드 넛츠 앤 허니 300g,그래놀라 시리얼
산테 그래놀라 골드 브라우니 앤 체리 300g,그래놀라 시리얼
CJ 밸런스밀 프로틴쉐이크 견과 50g x5 + 귀리 50g x5,일반 시리얼
코스트코 오 그래놀라 믹스 팝 다이제 초코고래밥 1.08kg,그래놀라 시리얼
키토제니 파머스 그래놀라 초콜릿 넛츠 150g,그래놀라 시리얼/저염/150g/인증정보: HACCP/알레르기성분: 우유/표시기준분량: 30g/열량: 152kcal/탄수화물: 5%/당류: 1g 미만/단백질: 5g/지방: 7g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 1.5mg/나트륨: 20mg
이마트 맛보기체험팩 라이트 미니 그래놀라 말차/카라멜/바나나 240g,그래놀라 시리얼
이마트 발보아 라이트 고식이섬유 그래놀라 말차 40g,그래놀라 시리얼
무화당 고단백 저당 그래놀라 바나나 200g,그래놀라 시리얼
인크레더블 그라놀로지 그래놀라 시그니처 440g,그래놀라 시리얼
인크레더블 그라놀로지 Gr+ 프로틴 그래놀라 시나몬 400g,그래놀라 시리얼
켈로그 아몬드 컵 시리얼 40g,일반 시리얼
인크레더블 그라놀로지 시그니처 시리얼 440g,일반 시리얼
인크레더블 그라놀로지 Gr+ 프로틴 그래놀라 시그니처_400g,그래놀라 시리얼
오리온 감자 패밀리팩 6종세트 1개,일반 시리얼
동서식품 포스트 오곡 코코볼 시리얼 1kg,일반 시리얼
동서식품 포스트 동서 카카오 호두 300g,일반 시리얼
동서식품 포스트 골든그래놀라 360g 3개 그래놀라시리얼 견과류 후르츠/크런치/아몬드빈 골든그래놀라 360g 3세트,그래놀라 시리얼
켈로그 아몬드 후레이크 컵 시리얼 30g,일반 시리얼
동서식품 포스트 허니 번치 오브 오트 시리얼 크리스피 아몬드 793g,일반 시리얼
켈로그 첵스초코 매직팝핑볼 400g 3팩 + 증정 매직팝핑볼 샤쉐 1팩 + 시리얼볼,일반 시리얼
켈로그 리얼그래놀라 400g 3팩+ 통귀리밥 컵 2개 기획,그래놀라 시리얼
이든타운에프앤비 오트밀 제과용 1kg,오트밀 시리얼
이롬 코스트코 잇츠그레잇 30g 15포 곡물쉐이크 건강식,일반 시리얼
플라하반 퀵오트 오리지날 35g 40개 1.4kg 식사대용 개별포장 오트밀,오트밀 시리얼
매일유업 어메이징 오트 그래놀라 입 30g,그래놀라 시리얼
