Name,Spec
2024-10-17 19:37:27
풍기인삼 6년근 파삼 세척삼 750g,인삼
후금이네 금산고려인삼 한뿌리삼 35g 3개입,인삼
울몸애 세척 수삼 세트 1.2kg,수삼/특징: 선물세트/국산
씨너지아이앤티 메디트리 메드트리 사랑담은 침향환 골드 3.75g 30환,홍삼/형태: 환/섭취대상: 성인남녀
홀라이프 김오곤 프리미엄 침향단 4.5g 100환,홍삼/형태: 환
정관장 홍삼톤 청 50ml 30포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:4.5mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 100포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:7mg/HACCP/기능성: 면역력 증진"
정관장 활기력 JOY 자몽허니 20ml 30병,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/원재료: 6년근/기능성: 면역력 증진"
정원장 튼튼키즈 어린이 홍삼 30포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:4.5mg/GMP/이력추적"
농협홍삼 한삼인 홍삼진 굿데이스틱 10ml 100포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:3mg/건강기능식품/기능성: 면역력 증진, 항산화"
정원장 6년근 홍삼스틱 프리미엄 골드 100포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:20mg/건강기능식품/GMP/이력추적/기능성: 면역력 증진, 항산화"
정관장 활기력 세트 20ml 30병,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회,1병/섭취기간: 1개월분/원재료: 6년근/기능성: 면역력 증진, 장 건강"
11번가 올스탠다드 6년근 홍삼정 프리미엄 10g 20포,홍삼/특징: 스틱형
CJ웰케어 한뿌리 구증구포 흑삼진 스틱 8.2ml 30포,홍삼/흑삼/특징: 스틱형
종근당건강 녹용홍삼 애니타임 골드 10ml 30포 (빠른배송),"홍삼/형태: 음료(액상)/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/원재료: 6년근/기능성: 면역력 증진"
금산인삼협동조합 리얼진 나이스 홍삼스틱 15ml 30포,홍삼/특징: 스틱형
종근당건강 홍삼정 스틱 60포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 2개월분/특징: 스틱형/
진세노사이드 1일함량:4.8mg/건강기능식품/GMP/기능성: 면역력 증진, 항산화"
종근당건강 홍삼 녹용 프리미엄 선물세트 30포,"홍삼/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형"
정관장 홍삼진고 이뮨 스틱 10g 30포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1포/섭취기간: 15일분/특징: 스틱형/
진세노사이드 1일함량:3.7mg/건강기능식품/이력추적/기능성: 면역력 증진, 항산화"
정관장 다보록 감사편 휘(輝),"홍삼/형태: 음료(액상), 환/섭취대상: 성인남녀/특징: 선물세트/홍삼진본 40ml x 15포/홍삼정환 12.6g x 2개/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
