Name,Spec
2024-10-17 19:50:02
대상웰라이프 뉴케어 구수한맛 클래식 200ml x 15개 + 고소한 검은깨 클래식 200ml x 15개,균형영양식/특징: 테트라팩
이롬 황성주 박사의 마시는 영양식 라이트 190ml,균형영양식/특징: 테트라팩
이롬 황성주 박사의 마시는 영양식 라이트 140ml,균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 구수한맛 클래식 200ml,균형영양식/특징: 테트라팩
정식품 그린비아 당케어 곡물맛 당뇨환자용 균형영양식 200ml,
대상웰라이프 뉴케어 구수한맛 밸런스업 230ml 24팩,균형영양식/특징: 테트라팩
일동후디스 하이밀크 시니어 균형영양식 600g,균형영양식/형태: 분말
대상웰라이프 뉴케어 구수한맛 200ml x 10개 + 고소한 검은깨 200ml x 10개,균형영양식/특징: 테트라팩
대상웰라이프 이엔솔브 칼로리 1.5 200ml,
엠디웰 메디웰 RTH 당뇨식 300ml,
대상웰라이프 뉴케어 구수한맛 빨대형 200ml,
이롬 황성주 국산콩 두유 PLUS 검은콩과21곡 190ml,균형영양식/특징: 테트라팩
이롬 황성주 국산콩 두유 PLUS 호두와아몬드 190ml,균형영양식/특징: 테트라팩
이롬 황성주 국산콩 두유 PLUS 고칼슘 100팩(검은콩고칼슘비타민D+호두아몬드+검은콩과21곡),균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 당플랜 호두맛 클래식 200ml 10개 + 인절미맛 클래식 200ml 10개,당뇨환자용 영양식/특징: 테트라팩
메디웰 페디아 드링크 미니 유아영양식 120ml,균형영양식/특징: 테트라팩/비타민A/비타민E/칼슘/마그네슘/철분/엽산/아연/비오틴
매일유업 메디웰 완전 균형 영양식 200ml,균형영양식
정식품 그린비아 당 케어 곡물맛 200ml,특징: 테트라팩
대상웰라이프 뉴케어 당플랜 인절미맛 클래식 200ml,당뇨환자용 영양식/특징: 테트라팩
대상웰라이프 이엔솔브 300TF 1000ml,연하곤란환자용 영양식
대상웰라이프 뉴케어 혈압플랜 200ml,균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 구수한맛 미니 150ml 24개 + 고소한 검은깨 미니 150ml 24개,균형영양식/특징: 테트라팩
매일유업 메디웰 신장식 비투석 플러스 200ml,특징: 테트라팩
매일유업 건강한 오곳맛 미니 150ml,특징: 테트라팩
대상웰라이프 뉴케어 당플랜 프로 인절미맛 230ml,당뇨환자용 영양식/형태: 음료(액상)/특징: 테트라팩
대상웰라이프 뉴케어 관절플랜 곡물맛 200ml 24개 + 밀크맛 200ml 24개,특징: 테트라팩/건강기능식품
대상웰라이프 뉴케어 당플랜 호두맛 클래식 200ml 15개 + 인절미맛 클래식 200ml 15개,특징: 테트라팩
대상웰라이프 뉴케어 관절플랜 곡물맛 200ml,특징: 테트라팩/건강기능식품
대상웰라이프 뉴케어 액티브 밀크맛 200ml,특징: 테트라팩
종근당건강 닥터케어 당코치 제로 200ml,당뇨환자용/특징: 테트라팩
대상웰라이프 뉴케어 액티브 오리지널 200ml,균형영양식
일동후디스 하이밀크 고칼슘 균형영양식 스틱 20g 10포,균형영양식/형태: 분말타입/칼슘
삼육두유 삼육케어 당캐치 200ml,당뇨환자용/특징: 테트라팩
매일유업 매일닥터 완전 균형영양식 고소한맛 190ml,균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 미니 고소한 검은깨 150ml 24팩,균형영양식/특징: 테트라팩/비타민A/비타민E/칼슘/마그네슘/철분/엽산/아연
대상웰라이프 뉴케어 큐랙트 30포,"균형영양식/형태: 분말/섭취횟수, 양: 1일 2~4회/
[영양정보] 1회제공량 13.5당 열량: 50kcal/탄수화물: 4.5g/당류: 1.4g/단백질: 7.5g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
대상웰라이프 뉴케어 IBD 플러스 200ml,"장질환자용 영양식/형태: 음료(액상)/
[영양정보] 1회제공량 200ml당 열량: 200kcal/탄수화물: 26.5g/당류: 2g/단백질: 8.5g/지방: 6.7g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 27.5mg/나트륨: 180mg"
대상웰라이프 뉴케어 미니 고소한 검은깨 150ml,"균형영양식/형태: 음료(액상)/
[영양정보] 1회제공량 150ml당 열량: 110kcal/탄수화물: 12.5g/당류: 5g/단백질: 4.5g/지방: 4.8g/포화지방: 0.65g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 110mg"
대상웰라이프 뉴케어 당플랜 프로 MBP플랜 230ml,
한국엔테랄푸드(Kef) 케어웰 케어웰 검은참깨 200ml,균형영양식/특징: 테트라팩
한국엔테랄푸드(Kef) 케어웰 케어웰 프로틴 플러스 200ml,균형영양식/특징: 테트라팩
한국엔테랄푸드(Kef) 케어웰 케어웰 구수한맛 (팩) 200ml,균형영양식/특징: 테트라팩
한국엔테랄푸드(Kef) 케어웰 케어웰 화이바 200ml,특징: 테트라팩
한국엔테랄푸드(Kef) 케어웰 케어웰 구수한맛 (캔) 200ml,균형영양식/특징: 캔류
대상웰라이프 뉴케어 당플랜 호두맛 200ml x 15개 + 곡물맛 200ml x 15개,당뇨환자용/특징: 테트라팩
대상웰라이프 뉴케어 구수한맛 200ml x 15개 + 고소한 검은깨 200ml x 15개,균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 RTH 300TF 400ml,균형영양식/경관급식환자용/특징: 스파우트팩
대상웰라이프 뉴케어 구수한맛 200ml x 5개 + 고소한 검은깨 200ml x 5개,균형영양식/특징: 테트라팩
대상웰라이프 뉴케어 RTH 300TF 300ml,균형영양식/경관급식환자용/특징: 스파우트팩
