field_name,english_name,base_unit,found_units,needs_conversion
단백질,protein_g,g,"g, mg",True
지방,fat_g,g,"g, mg",True
탄수화물,carbohydrate_g,g,"g, mg",True
당류,sugar_g,g,"g, mg",True
식이섬유,dietary_fiber_g,g,g,False
칼슘,calcium_mg,mg,"mg, g",True
인,phosphorus_mg,mg,"mg, g",True
칼륨,potassium_mg,mg,"mg, g",True
나트륨,sodium_mg,mg,"mg, g",True
베타카로틴,beta_carotene_μg,μg,"μg, g",True
티아민,thiamine_mg,mg,"mg, g",True
리보플라빈,riboflavin_mg,mg,"mg, g",True
콜레스테롤,cholesterol_mg,mg,"mg, g",True
엽산,folate_μg_dfe,μg,"μg, g, mg",True
판토텐산,pantothenic_acid_mg,mg,"mg, g",True
당알콜,sugar_alcohol_g,g,g,False
알룰로오스,allulose_g,g,g,False
에리스리톨,erythritol_g,g,g,False
마그네슘,magnesium_mg,mg,"mg, g",True
아연,zinc_mg,mg,"mg, g",True
타우린,taurine_mg,mg,"mg, g",True
카페인함량,caffeine_mg,mg,"mg, g",True
고카페인,caffeine_mg,mg,"mg, g",True
HCA,hca_mg,mg,"mg, g",True
DHA+EPA,epa_dha_mg,mg,"mg, g",True
자일로올리고당,xylooligosaccharide_mg,mg,"mg, g",True
락추로스,lactulose_mg,mg,"mg, g",True
알룰로스,allulose_g,g,g,False
저분자 콜라겐펩타이드,low_molecular_collagen_peptide_mg,mg,"mg, g",True
카르니틴,carnitine_mg,mg,"mg, g",True
카테킨,catechin_mg,mg,"mg, g",True
