Name,Spec
2024-10-17 19:50:01
DANONE 볼빅 1.5L,수입생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 프랑스 오베른
DANONE 볼빅 500ml,수입생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 프랑스 오베른
GS리테일 유어스 DMZ맑은샘물 2L,포장형태: 페트/2L
GS리테일 유어스 유어스 지리산 맑은샘물 무라벨 500ml,무라벨/포장형태: 페트/수원지: 지리산/500ml
GS리테일 유어스 지리산 맑은샘물 2L,
Natural Glacial Waters 아이스필드 캐나다 빙하수 2L,수입생수/포장형태: 페트/수원지: 캐나다
NaturalGlacialWaters 아이스필드 빙하수 500ml,수입생수/유라벨/포장형태: 페트/원수원: 빙하수/수원지: 캐나다
NaturalWaterbtlimted 피지워터 1.5L,수입생수/유라벨/포장형태: 페트/원수원: 화산 암반수/수원지: 남태평양 서부 Vlti Levu섬
NaturalWaterbtlimted 피지워터 1L,수입생수/유라벨/포장형태: 페트/원수원: 지하암반수/수원지: 이탈리아
NaturalWaterbtlimted 피지워터 330ml,수입생수/유라벨/포장형태: 페트/원수원: 지하암반수/수원지: 이탈리아
NaturalWaterbtlimted 피지워터 500ml,수입생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 지하암반수/수원지: 이탈리아
SOCIETE DES EAUX DE VOLVIC 볼빅 생수 1.5L,수입생수/포장형태: 페트/수원지: 프랑스 오베르뉴
SOCIETE DES EAUX DE VOLVIC 볼빅 생수 500ml,포장형태: 페트/500ml
SPC삼립 지리산산수 500ml,국내생수/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 하동군
강원심층수 맘스킹 해양심층수 베이비 워터 경도 160 1.2L,"국내생수/유라벨/포장형태: 페트/특징: 유아,어린이용/원수원: 해양심층수/수원지: 강원도 고성군 죽왕면 심층수길"
강원심층수 천년동안 1.2L,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 고성군
강원심층수 천년동안 350ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 고성군
강원심층수 천년동안 500ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트
강원심층수 천년동안 라이트 500ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 고성 오호
강원심층수 천년동안 무라벨 1.2L,국내생수/식품유형: 먹는해양심층수/무라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 고성군
강원심층수 천년동안 무라벨 350ml,국내생수/식품유형: 먹는해양심층수/무라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 고성군
강원심층수 천년동안 베이비 워터 1.2L,"국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/특징: 유아,어린이용/원수원: 암반대수층지하수/수원지: 강원도 고성"
강원심층수 천년동안 베이비 워터 350ml,"국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/특징: 유아,어린이용/원수원: 암반대수층지하수/수원지: 강원도 고성"
강원심층수 천년동안 키즈 워터 1.2L,"국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/특징: 유아,어린이용/원수원: 해양심층수/수원지: 강원도 고성군"
강원심층수 천년동안 키즈 워터 350ml,"국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/특징: 유아,어린이용/원수원: 해양심층수/수원지: 강원도 고성군"
광동제약 2리터 12개 무라벨생수 재고부족시 라벨랜덤,
광동제약 500ml 20개 무라벨생수 재고부족시 라벨랜덤,
광동제약 500ml 40개 무라벨생수 재고부족시 라벨랜덤,
광동제약 500ml x 20펫 무 유라벨 랜덤,
광동제약 제주 삼다수 2L,국내생수/포장형태: 페트/수원지: 제주시 조천읍 교래리
광동제약 제주 삼다수 330ml,국내생수/포장형태: 페트/수원지: 제주시 조천읍
광동제약 제주 삼다수 500ml,국내생수/포장형태: 페트/수원지: 제주시 조천읍 교래리
광동제약 제주 삼다수 그린 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍
광동제약 제주 삼다수 그린 330ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍
광동제약 제주 삼다수 그린 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍
광동제약 제주삼다수 무라벨 2L x 6펫,
광동제약 제주삼다수330mlx 20개 +백두산 백산수 330mlx 20개 +아이시스300mlx 20개 생수 총60개,
광동제약 제주삼다수330mlx 20개 +백두산백산수1Lx 12개 생수 총32개,
광동제약 제주삼다수500mlx 20개 +백두산백산수1Lx 12개 생수 총32개,
광동제약 제주삼다수500mlx 20개 +휘오 다이아몬드EC 500ml x 20개 생수 총40개,
광동제약 제주삼다수500mlx 40개 생수 20개씩-2개,
글로벌심층수 딥스 키즈 해양심층수 300ml,포장형태: 페트/수원지: 강원 속초
글로벌심층수 딥스 해양심층수 골드 2L,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 딥스 해양심층수 골드 500ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 딥스 해양심층수 그린 2L,국내생수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 딥스 해양심층수 그린 500ml,국내생수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 딥스 해양심층수 블루 2L,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 딥스 해양심층수 블루 500ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 프리미엄 먹는 해양심층수 사랑해 경도300 2L,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초시 외옹치
글로벌심층수 프리미엄 먹는 해양심층수 사랑해 경도300 500ml,국내생수/식품유형: 먹는해양심층수/유라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초시 외옹치
글로벌심층수 해양심층수 딥스 에코그린 2L,국내생수/식품유형: 먹는해양심층수/무라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 해양심층수 딥스 에코그린 500ml,국내생수/식품유형: 먹는해양심층수/무라벨/포장형태: 페트/원수원: 해양심층수/수원지: 강원도 속초
글로벌심층수 해양심층수 딥스골드 500ml,국내생수/포장형태: 페트
금천게르마늄 알파수 350ml,국내생수/유라벨/포장형태: 페트/: 암반대수층지하수/수원지: 충북 청원군
금천게르마늄 헬시언 샘물 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 옥천군
나노텍 나노에이치 수소수 500ml,국내생수/식품유형: 수소수/유라벨/포장형태: 파우치
남양 천연수 무라벨 2L,무라벨/포장형태: 페트
남양유업 천연수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 전북 완주
남양유업 천연수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 포천시
남양유업 천연수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 전북 완주
네베 빙하수 워터 250ml,"수입생수/유라벨/포장형태: 페트/원수원: 빙하수/수원지: Rosewall Creek, BC, Canada"
네슬레워터스 퓨어라이프 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 포천
네슬레워터스 퓨어라이프 330ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수
네슬레워터스 퓨어라이프 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 포천
농심 백두산 백산수 1L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산
농심 백두산 백산수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산
농심 백두산 백산수 330ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산
농심 백두산 백산수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산
농심 백두산 백산수1Lx 12개 +백산수330mlx 20개 생수 총32개,
농심 백두산 백산수500mx 20개 +백산수330mlx 20개 생수 총40개,
농심 백산수 1L,국내생수/포장형태: 페트/수원지: 백두산
농심 백산수 2L,포장형태: 페트/수원지: 백두산/2L
농심 백산수 330ml,국내생수/포장형태: 페트/수원지: 백두산
농심 백산수 500ml,국내생수/포장형태: 페트/수원지: 백두산
농심 백산수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 중국 길림성 안도현 이도진 내두천(백두산)
농심 백산수 무라벨 330ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 화산암반 용천수/수원지: 백두산
농심 백산수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 중국 길림성 안도현 이도진 내두천(백두산)
다농 볼빅 천연 광천수 생수 500ml,포장형태: 페트/500ml
델타코리아 닥터유 면역수 530ml,국내생수/포장형태: 페트/수원지: 제주시 구좌읍
델타코리아 닥터유 제주 용암수 2L,포장형태: 페트/수원지: 제주시 구좌읍/2L
델타코리아 닥터유 제주용암수 2L 30개,무라벨/포장형태: 페트
동아오츠카 마신다 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시
동아오츠카 마신다 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시
동원F&B 덴마크 테이크 얼라이브 스위티자몽 망고 120ml x 24팩,
동원F&B 동원샘물 2L,"국내생수/포장형태: 페트/수원지: 경기 연천,충북 괴산,경북 상주,경남 산청"
동원F&B 동원샘물 300ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 남양주시
동원F&B 동원샘물 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 연천군
동원F&B 동원샘물 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 충북 괴산군 불정면 하산로 1길
동원F&B 동원샘물 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 충북 괴산군 불정면 하산로 1길
동원F&B 동원샘물 미네마인 2L,"국내생수/포장형태: 페트/수원지: 경기 연천,충북 괴산,전북 완주"
동원F&B 샘물 300ml x 20병 생수 워터,
동원F&B 아쿠아포레 330ml,국내생수/유라벨/포장형태: 페트/원수원: 심층암반수/수원지: 경기도 연천군
동원F&B 웨이크업 뷰티 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 연천
동천수 가야산 천년수 2L,포장형태: 페트/수원지: 경남 합천/2L
동천수 가야산 천년수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군
동천수 가야산 천년수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군
동천수 가야산 천년수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군
동천수 얼수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군
동천수 얼수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군
동해샘물 동해약천골 지장수 2L 6페트,
동해샘물 약천골 지장수 2L,국내생수/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 강원도 동해시
동해샘물 약천골 지장수 500ml,국내생수/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 강원도 동해시
로터스 순창샘물 2L,국내생수/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 전북 순창군
롯데마트 온리프라이스 미네랄워터ECO 500ml,무라벨/포장형태: 페트
롯데칠성음료 아이시스 1L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 산청군 시천면
롯데칠성음료 아이시스 2L,포장형태: 페트/수원지: 경남 산청/2L
롯데칠성음료 아이시스 500ml,포장형태: 페트/500ml
롯데칠성음료 아이시스 8.0 1L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청주시
롯데칠성음료 아이시스 8.0 200ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청주시
롯데칠성음료 아이시스 8.0 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군
롯데칠성음료 아이시스 8.0 300ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군
롯데칠성음료 아이시스 8.0 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청주시
롯데칠성음료 아이시스 8.0 ECO 1.5L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군
롯데칠성음료 아이시스 8.0 ECO 1L,포장형태: 페트/1L
