Name,Spec
2024-10-17 19:52:06
CARABAO 카라바오 에너지 드링크 150ml,"에너지드링크/
[영양정보] 1회 제공량 150ml당 열량: 104kcal"
CARABAO 카라바오 에너지 드링크 250ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 250ml당 열량: 170kcal"
CARABAO 카라바오 에너지 드링크 그린 애플 슈가프리 330ml,"에너지드링크/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 330ml당 열량: 0kcal"
CARABAO 카라바오 에너지 드링크 믹스 베리 330ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 330ml당 열량: 63kcal"
FRANKLIN&SONS LTD 프랭클린 라즈베리 레모네이드 275ml,탄산음료/탄산음료/포장형태: 병
GS리테일 유어스 유어스 슈퍼맨 사이다 350ml,"탄산음료/탄산음료/포장형태: 캔/
[영양정보]"
GS리테일 유어스 코리안 좀비 에너지드링크 망고 355ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 355ml당 열량: 19kcal"
GS리테일 유어스 코리안 좀비 에너지드링크 멜론 355ml,"에너지드링크/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 7kcal"
JS SKIN LAB 알피엠 포텐 15T,에너지드링크/포장형태: 스틱/총량: 15T/1T당: 25g
WANGNOI BEVERAGE 싱하 레몬소다 제로 330ml,비타민음료/탄산음료/포장형태: 캔/330ml/제로칼로리/레몬
WANGNOI BEVERAGE 싱하 유자소다 제로 330ml,비타민음료/탄산음료/포장형태: 캔/제로칼로리/레몬
갑당약초 링스틱 20T,이온음료/포장형태: 스틱/총량: 40T/스틱형/1T당: 6g
경남제약 레모나 드링크 100ml,비타민음료/포장형태: 병/박스
고려은단 마시는 고려은단 비타민C 1000 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/탄수화물: 11g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg"
고려은단 마시는 고려은단 비타민C 1000 플러스 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/탄수화물: 11g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg/비타민C: 1000mg"
고려은단 비타민C 1000 100ml,비타민음료/포장형태: 병
고려은단 비타민C 1000 플러스 100ml 60개,비타민음료
고려은단 비타민C1000플러스 100ml 80병 1박스,비타민음료
고려은단 허니&유자 비타민C 140ml,"비타민음료/포장형태: 병/
[영양정보] 1회 제공량 140ml당 열량: 75kcal/탄수화물: 19g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg"
고려인삼제품공사 고향 꿀모닝 15T,숙취해소음료/포장형태: 스틱/1T당: 12g
광동제약 가네스 알파 100ml,강장음료
광동제약 가네스알파 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 13g/당류: 12g/단백질: 4g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
광동제약 광동 복분자 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 55kcal/탄수화물: 13g/당류: 13g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg"
광동제약 광동 복분자 170ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 170ml당 열량:95kcal/탄수화물:22g/당류:22g/단백질:2g/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:30mg"
광동제약 광동 진홍삼골드 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
광동제약 기분 좋은 활력 비타민D 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 총 내용량 100ml당 열량: 45kcal"
광동제약 대추쌍화 150ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 150ml당 열량: 65kcal/탄수화물: 16g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg"
광동제약 비타 500 100ml x 20병 선물세트,비타민음료/포장형태: 병/100ml
광동제약 비타 500 칼슘 100ml x 20병 선물세트,비타민음료/포장형태: 유리병/100ml/총량: 20개입
광동제약 비타 500 콜라겐 잔망루피 100ml x 20병 선물세트,비타민음료/포장형태: 병
광동제약 비타 500 허니로열 곰돌이 푸 100ml,비타민음료/포장형태: 병/100ml
광동제약 비타 500 허니로열 곰돌이 푸 100ml x 20병 선물세트,비타민음료/포장형태: 병/100ml
광동제약 비타500 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500 100mlx 10병 +박카스F120mlx 10병 총20병,비타민음료
광동제약 비타500 180ml,비타민음료/포장형태: 병/180ml
광동제약 비타500 240ml,비타민음료/포장형태: 캔/240ml
광동제약 비타500 ACE 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 30mg"
광동제약 비타500 광도르방 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/탄수화물: 11g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg/비타민C: 500mg/비타민B2: 12mg/아연: 3mg"
광동제약 비타500 기분좋은 활력 비타민D 1000IU 100ml,"비타민음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 45kcal"
광동제약 비타500 기분좋은 활력 비타민D 100ml,비타민음료/포장형태: 병/100ml
광동제약 비타500 라임 170ml,"비타민음료/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 30kcal"
광동제약 비타500 레드 크레이지 엘리멘탈 100ml,"비타민음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 18kcal"
광동제약 비타500 로열폴리스 120ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 120ml당 열량: 55kcal/탄수화물: 14g/당류: 13g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500 부탁해B군 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal"
광동제약 비타500 스파클링 250ml,"비타민음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 250ml당 열량: 110kcal/탄수화물: 28g/당류: 26g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg/비타민B2: 3mg/비타민C: 1,250mg"
광동제약 비타500 스파클링 250ml x 24캔 음료 탄산,비타민음료
광동제약 비타500 아연 180ml,"비타민음료/포장형태: 병/박스/
[영양정보] 총 내용량 180ml당 열량: 70kcal"
광동제약 비타500 자몽 170ml,"비타민음료/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 30kcal"
광동제약 비타500 제로 100ml,"비타민음료/포장형태: 병/제로칼로리/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal"
광동제약 비타500 제로 스파클링 150ml,비타민음료/포장형태: 병/150ml/제로칼로리
광동제약 비타500 제로 스파클링 250ml,"비타민음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
광동제약 비타500 치어팩 250ml,"비타민음료/포장형태: 파우치/
[영양정보] 1회 제공량 250ml당 열량: 85kcal/탄수화물: 21g/당류: 15g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg"
광동제약 비타500 칼슘 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500 칼슘 100ml 20병+Fresh 100ml 20병,비타민음료
광동제약 비타500 콜라겐 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/저분자 콜라겐펩타이드: 500mg/비타민C: 500mg"
광동제약 비타500 콜라겐 100ml[10개],비타민음료/포장형태: 병/100ml
광동제약 비타500 콜라겐 100ml[20개],비타민음료/포장형태: 병/100ml
