Name,Spec
1 생균보존Alu포장 17종100억 유산균 프로바이오틱스,프로바이오틱스/섭취대상: 성인남녀/기능성: 장 건강
120gx3봉 프락토올리고당 19종유산균 숫자 효과 추천,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/기능성: 장 건강"
2024-10-17 20:17:52
21st 센추리 애시도필러스 프로바이오틱스 150캡슐 (해외),"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 150캡슐/섭취기간: 5개월/형태: 캡슐,정/특징: 해외구매"
21st 센추리 어드밴스드 프로바이오틱 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억~/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/형태: 캡슐,정/기능성: 장 건강"
Align 프로바이오틱스 유산균 63캡슐,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정"
BOTO 이너케어 유산균 VL8 데일리 스위트 30포,[주요성분] 프로바이오틱스
BOTO 이너케어 유산균 아연 셀레늄 30캡슐,[주요성분] 프로바이오틱스/아연
Bifodan 비포락토 이지멜트 프로바이오틱스 1g 30포,"[주요성분] 프로바이오틱스/보장균수(CFU): 30억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회,1포/형태: 분말형/특징: 스틱형/건강기능식품/기능성: 장 건강"
BioSchwartz 프로바이오틱스 유산균 400억 CFU 60캡슐,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정"
CJ BYO 20억 생 유산균 2g 30포,"[주요성분] 프로바이오틱스/보장균수(CFU): 20억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회,1포/특징: 스틱형/건강기능식품/기능성: 장 건강"
CJ BYO 면역플러스 유산균 370mg 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 2개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강"
