Name,Spec
SPC삼립 디저트 누네띠네 2.5kg,"스낵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 521kcal"
SPC삼립 크루통 1kg,"스낵/대용량(벌크형)/
[영양정보] 표시기준량 1000g당 열량: 2710kcal"
감미제과 장터할매 옛날전병 1kg,"전병/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 410kcal"
개나리콘 1.2kg,스낵/대용량(벌크형)
광일제과 꾀돌이 1.8kg,스낵/대용량(벌크형)
광일제과 꾀돌이 1kg,스낵/대용량(벌크형)
광일제과 옥수수 고추맛콘 1kg,"스낵/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 460kcal/나트륨 : 561mg/탄수화물: 74g/당류: 12g/지방: 16g/트랜스지방: 0g/포화지방: 8g/콜레스테롤: 0mg/단백질 : 5g"
금풍제과 NEW 러브볼 2kg,스낵/대용량(벌크형)
금풍제과 NEW 크랙커 2kg,스낵/대용량(벌크형)
금풍제과 건빵 5kg,스낵/대용량(벌크형)
금풍제과 보리건빵 10kg,"건빵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 395kcal"
금풍제과 보리건빵 1kg,건빵/대용량(벌크형)
금풍제과 보리건빵 2kg,건빵/대용량(벌크형)
금풍제과 보리건빵 3.5kg,"건빵/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 395kcal"
금풍제과 보리건빵 4kg,건빵/대용량(벌크형)
금풍제과 보리건빵 6.5kg,"건빵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 395kcal"
동서식품 그래놀라 1kg,"그래놀라 시리얼/대용량(벌크형)/
[영양정보] 표시기준량 1kg당 열량: 4,267kcal"
동서식품 포스트 고소한 아몬드 후레이크 1kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 130kcal/탄수화물: 23g/당류: 8g/단백질: 2g/지방: 3.1g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg"
동서식품 포스트 오곡코코볼 1kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 118kcal/탄수화물: 24g/당류: 9g/단백질: 2g/지방: 1.6g/포화지방: 1.1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg"
동서식품 포스트 콘푸라이트 1.1kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 115kcal/탄수화물: 26g/당류: 11g/단백질: 1g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 171mg"
리치 오트밀 미니바이트 1kg,"스낵/대용량(벌크형)/오트밀/
[영양정보] 표시기준량 100g당 열량: 518kcal"
리치 진주 허니 쌀과자 1kg,쌀과자/대용량(벌크형)
마카로니 3.5kg,스낵/대용량(벌크형)
보헬리 미니 프레첼 1.2kg,스낵/대용량(벌크형)
삼천리 스위티코리아 허니꿀짱 1kg 대용량 벌크,스낵/대용량(벌크형)
삼천리에프엔지 떡볶이스낵 1kg,"스낵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 515kcal"
삼천리에프엔지 생강대롱 1kg,전병/대용량(벌크형)
삼천리에프엔지 쌀대롱 1kg,스낵/대용량(벌크형)
삼천리에프엔지 허니 꿀꽈배기 1kg,스낵/대용량(벌크형)
삼천리에프엔지 허니꿀짱 1kg,"스낵/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 255kcal"
새니테리엄 위트빅스 오리지널 통밀 시리얼 1.2kg,일반 시리얼/대용량(벌크형)
서울제과 왕라면스낵 1.2kg,스낵/대용량(벌크형)
서울제과 왕라면스낵 2.25kg,스낵/대용량(벌크형)
신미제과 고구마형 2.5kg,스낵/대용량(벌크형)
신미제과 오란다 2.5kg,"전병/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 440kcal"
신미제과 후라이드형 1kg,스낵/대용량(벌크형)
신미제과 후라이드형 2.5kg,스낵/대용량(벌크형)
신흥제과 감자크래커 1.8kg,"비스킷,크래커/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 515kcal"
신흥제과 닭다리형 꼬꼬스낵 1.6kg,스낵/대용량(벌크형)
신흥제과 미니핑거 1.8kg,스낵/대용량(벌크형)
신흥제과 발효보리건빵 3kg,건빵/대용량(벌크형)
신흥제과 발효보리건빵 6.5kg,건빵/대용량(벌크형)
신흥제과 발효보리건빵 6kg,건빵/대용량(벌크형)
신흥제과 버터쿠키 1.8kg,"쿠키/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 520kcal"
신흥제과 앙금쿠키 1.8kg,쿠키/대용량(벌크형)
신흥제과 에그볼 1.8kg,"쿠키/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 450kcal"
신흥제과 참깨고소해 1.8kg,"비스킷,크래커/대용량(벌크형)"
신흥제과 초코칩 쿠키 1.8kg,"쿠키/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 490kcal"
신흥제과 치즈쿠키 1.8kg,쿠키/대용량(벌크형)
신흥제과 코코아링 1.8kg,쿠키/대용량(벌크형)
씨알푸드 씨알로 아몬드 프레이크 1.2kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 128kcal/탄수화물: 23g/당류: 7g/단백질: 2g/지방: 3g/포화지방: 1.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 137mg"
씨알푸드 씨알로 오곡으로 만든 초코로핀 1.2kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 20g당 열량: 107kcal/탄수화물: 24g/당류: 9g/단백질: 2g/지방: 0.5g/포화지방: 0.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 85mg"
씨알푸드 씨알로 콘프레이크 1.2kg,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 114kcal/탄수화물: 26g/당류: 2g/단백질: 2g/지방: 0.2g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 194mg"
에코푸드 오란다알알이 1kg,"전병/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 406kcal/나트륨: 120mg/탄수화물: 71g/당류: 27g/지방: 18g/트랜스지방: 0g/포화지방: 3.1g/콜레스테롤: 0mg/단백질: 8g"
영진식품 대용량 백옥 옥수수 강냉이 뻥튀기 5kg,스낵/대용량(벌크형)
우리가스토리 카사바칩 1.25kg,"감자칩/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 544kcal"
우리가스토리 카사바칩 스파이시 1.25kg,"감자칩/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 529kcal"
우리식품 포대과자 강냉이팝콘 2.2kg,팝콘/대용량(벌크형)
우리식품 포대과자 마카로니 2.2kg,스낵/대용량(벌크형)
우리식품 포대과자 밀튀밥 3.6kg,스낵/대용량(벌크형)
우리식품 포대과자 쌀튀밥 3.4kg,스낵/대용량(벌크형)
우리식품 포대과자 앵두 3.2kg,스낵/대용량(벌크형)
우리식품 포대과자 참맛콘 3.6kg,스낵/대용량(벌크형)
우리식품 포대과자 현미튀밥 3kg,스낵/대용량(벌크형)
우성식품 통밀쿠키 10kg,쿠키/대용량(벌크형)
웰빙코리아 참 고구마스틱 2.5kg,스낵/대용량(벌크형)
유림식품 7080 팝핀 전병 1kg,전병/대용량(벌크형)
제너럴밀스 시나몬 토스트 크런치 시리얼 1.4kg (해외),일반 시리얼/대용량(벌크형)
