Name,Spec
4C 4C 아이스티 복숭아 2.34KG,분말/용기형
C&B 카페마고 모카마일드 커피믹스 1kg,인스턴트커피/커피믹스/분말/리필형
GNM자연의품격 콘플레이크 콜라겐 천마차 90T,천마차/스틱형/총량: 200T/1T당: 18g
KY식품 시리얼 단호박 천마차 100T,천마차/스틱형/총량: 100T/원산지: 국내산/1T당: 20g
KY식품 시리얼 시원한 천마차 100T,천마차/스틱형/총량: 100T/원산지: 외국산/1T당: 20g
UCC 장인의 커피 스페셜 블렌드 100T,원두커피/드립백/총량: 100T/중량: 7g
가배온 린저 아메리카노 다크 로스트 100T,인스턴트커피/아메리카노/분말/스틱형/총량: 100T/중량: 1g
고려에프디 꿀 유자차 1kg,유자차/액상/원산지: 국내산
고려인삼제품공사 고향 누룽지 둥굴레차 100T,둥굴레차/티백형/총량: 100T/1T당: 1.5g
고려인삼제품공사 고향 콘푸레이크 천마차 110T,천마차/스틱형/총량: 10T/1T당: 18g
고려인삼제품공사 고향 호두 아몬드 율무차 110T,율무차/스틱형/총량: 10T/원산지: 외국산/1T당: 18g
고려인삼제품공사 콘푸레이크 천마차 130T,천마차/스틱형/총량: 130T/1T당: 18g
고려자연식품 두레원 꿀유자차 2kg,유자차/액상/원산지: 국내산
고흥두원농협 꿀 유자차 2kg,유자차/액상/원산지: 국내산
구일종합식품 하이네 고흥 꿀 유자차 1kg,유자차/액상/원산지: 국내산
굿모닝 실큐 아라비카 모카카페 커피믹스 100T,"인스턴트커피/커피믹스/분말/스틱형/총량: 100T/중량: 12g/원재료: 인스턴트커피 12.5%, 설탕, 식물성크림"
권뱅푸드 호박품은 유자 콤부차 100T,콤부차/티백형/총량: 100T/1T당: 1.5g
권뱅푸드 호박품은 유자 콤부차 100T (파우치),콤부차/티백형/총량: 100T/1T당: 1.5g
그레이스클럽 그린몬스터 디톡 콤부차 레몬홍차 100T,콤부차/분말/스틱형/총량: 100T/1T당: 5g
그린빈코리아 갓볶은 원두커피 콜롬비아 수프리모 메델린 1kg,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅 레벨: 풀시티
김오곤 원장의 보이차 100T,보이차/티백형/총량: 100T/1T당: 1g
김오곤 원장의 볶은우엉차 100T,우엉차/티백형/총량: 100T/원산지: 외국산/1T당: 1g
김오곤 원장의 산미나리 바질 씨앗차 100T,기타 차/티백형/총량: 100T/1T당: 1g
김오곤 원장의 차가버섯차 100T,기타 차/티백형/총량: 100T/1T당: 1g
김오곤 원장의 차가버섯차 200T,기타 차/티백형/총량: 200T/1T당: 1g
김오곤 원장의 히비스커스차 100T,허브차/히비스커스/티백형/총량: 100T/1T당: 1g
꽃샘식품 꿀대추차 1kg,대추차/액상/원산지: 국내산
꽃샘식품 꿀레드자몽 1kg,자몽차/액상/원산지: 외국산
꽃샘식품 꿀레몬차 1kg,레몬차/액상/원산지: 외국산
꽃샘식품 꿀매실 골드 1kg,매실차/액상/원산지: 국내산
꽃샘식품 꿀모과차 1kg,모과차/액상/원산지: 국내산
꽃샘식품 꿀복분자차 1kg,복분자차/액상/원산지: 국내산
꽃샘식품 꿀사과차 1kg,사과차/액상/원산지: 국내산
