Name,Spec
CJ제일제당 맥스봉 빅소시지 150g,소시지(간식용)/사무실간식(소포장)/표시기준량: 150g/열량: 50kcal
CJ제일제당 맥스봉 오리지널 15개입 525g,소시지(간식용)/사무실간식(소포장)
CJ제일제당 맥스봉 체다치즈 어랏 20개입 400g,소시지(간식용)/사무실간식(소포장)/표시기준량: 20g/열량: 35kcal
CJ제일제당 맥스봉 치즈 15개입 525g,소시지(간식용)/사무실간식(소포장)
CJ제일제당 맥스봉 치즈 15개입 825g,소시지(간식용)/사무실간식(소포장)/표시기준량: 55g/열량: 100kcal
CJ제일제당 맥스봉 치즈 16개입 560g,소시지(간식용)/사무실간식(소포장)
CJ제일제당 맥스봉 치즈 40개입 1.08kg,소시지(간식용)/사무실간식(소포장)
CJ제일제당 맥스봉 치즈 플러스 27개입 1080g,소시지(간식용)/사무실간식(소포장)/표시기준량: 40g/열량: 75kcal
CJ제일제당 맥스봉 치즈플러스 27개입 945g,소시지(간식용)/사무실간식(소포장)/표시기준량: 35g/열량: 70kcal
KERVANGIDA 베베토 베어 980g,젤리/사무실간식(소포장)
MARSSNACKFOOD 버라이어티 미니스 1.11kg,초코바/사무실간식(소포장)
SPC삼립 오븐에 구운 108겹 스틱파이 15개입 330g,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 22g당 열량: 98kcal/탄수화물: 10g/당류: 4g/단백질: 1g/지방: 6g/포화지방: 2.9g/트랜스지방: 0.7g/콜레스테롤: 0mg/나트륨: 85mg"
SPC삼립 초코블랑 12개입 360g,쿠키/사무실간식(소포장)
SPC삼립 크래프트 누네띠네 카라멜 크림치즈 10개입 120g,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 12g당 열량: 64kcal"
Thai Binh 반두아농 코코넛 찹쌀 크래커 10개입 180g,"비스킷,크래커/사무실간식(소포장)"
URC 잭앤질 XO 클래식 커피캔디 1.47kg,사탕/사무실간식(소포장)
개미식품 곡물그대로21 크리스피롤 900g,스낵/사무실간식(소포장)
개미식품 구워만든 곡물 그대로 21 110개입 1100g,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 605kcal"
개미식품 구워만든 곡물 그대로 21 18개입 180g,스낵/사무실간식(소포장)
개미식품 구워만든 곡물 그대로 21 65개입 650g,스낵/사무실간식(소포장)
개미식품 구워만든 곡물 그대로 21 오리지널 100개입 1kg (박스),스낵/사무실간식(소포장)
게메즈 에낙 30개입 480g,스낵/사무실간식(소포장)
국제제과 멜랜드 디저트 캔디 2.3kg,사탕/사무실간식(소포장)
국제제과 멜랜드 디저트 캔디 누룽지맛 2.5kg,사탕/사무실간식(소포장)
국제제과 멜랜드 디저트 캔디 누룽지맛 3kg,사탕/사무실간식(소포장)
국제제과 멜랜드 디저트 캔디 요구르트 2.3kg,사탕/사무실간식(소포장)
국제제과 멜랜드 디저트 캔디 종합 3kg,사탕/사무실간식(소포장)
국제제과 멜랜드 옛날 왕사탕 1kg,사탕/사무실간식(소포장)
국제제과 멜랜드 흑사탕 3kg,사탕/사무실간식(소포장)
네슬레 킷캣 미니 모먼츠 로투스 7개입 116.2g,"비스킷,크래커/사무실간식(소포장)"
네이처스 베이커리 피그 바 라즈베리 6개입 340g (해외),스낵/사무실간식(소포장)
네이처스 베이커리 피그 바 블루베리 6개입 340g (해외),스낵/사무실간식(소포장)
네이처스 베이커리 피그 바 오리지널 6개입 340g (해외),스낵/사무실간식(소포장)
농심 웰치 믹스드후르트 후르트스낵 80개입 2kg,젤리/사무실간식(소포장)
농심 웰치스 믹스 후르츠 젤리 100개입 2.5kg,젤리/사무실간식(소포장)
농심 웰치스 믹스 후르츠 젤리 25g,젤리/사무실간식(소포장)
농심 웰치스 믹스 후르츠 젤리 80개입 2kg,젤리/사무실간식(소포장)
농심 후르츠텔라 요구르트향 1.3kg,카라멜/사무실간식(소포장)
대두식품 화과방 녹차맛 양갱 50개입 2kg,양갱/사무실간식(소포장)
대두식품 화과방 우리쌀전병 김 144g,전병/사무실간식(소포장)/구성: 우리쌀전병 김 24g x 6개
대두식품 화과방 우리쌀전병 땅콩 144g,전병/사무실간식(소포장)/구성: 우리쌀전병 땅콩 24g x 6개
대두식품 화과방 우리쌀전병 흑임자 144g,전병/사무실간식(소포장)/구성: 우리쌀전병 흑임자 24g x 6개
대두식품 화과방 큐빅영양갱 5가지맛 30개입 1.2kg,양갱/사무실간식(소포장)/구성: 딸기맛 40g x 6개+녹차맛 40g x 6개+고구마맛 40g x 6개+팥맛 40g x 6개+호박맛 40g x 6개
대상 청정원 게살소시지 크랩봉 16개입 480g,소시지(간식용)/사무실간식(소포장)/표시기준량: 30g/열량: 55kcal
대상 청정원 게살소시지 크랩봉 5개입 75g,소시지(간식용)/사무실간식(소포장)/표시기준량: 30g/열량: 55kcal
대영식품 스위토리 몬스터 스탬프 캔디 1.064kg,사탕/사무실간식(소포장)
데일리마카롱부띠끄 줄서서 먹는 수제마카롱 12개입,샌드/사무실간식(소포장)
도라에몽 초코콘 과자 20개입 300g,스낵/사무실간식(소포장)/다크 초콜릿 40% + 비스킷볼 40% + 화이트 초콜릿 20%
동아제과 고려 홍삼 캔디 1.5kg,사탕/사무실간식(소포장)
동아제과 종합캔디 2kg,사탕/사무실간식(소포장)
동아제약 박카스맛 젤리 910g,젤리/사무실간식(소포장)/910g (26g x 35개입)
동원F&B 리얼 치즈봉 18개입 540g,소시지(간식용)/사무실간식(소포장)
동원F&B 리얼 크랩봉 18개입 540g,소시지(간식용)/사무실간식(소포장)
동원F&B 친친 오리지널 치즈 빅 소시지 10개입 800g,소시지(간식용)/사무실간식(소포장)
동원F&B 친친 오리지널 치즈소시지 10개입 800g,소시지(간식용)/사무실간식(소포장)/표시기준량: 80g/열량: 165kcal
라이프컬쳐 꿀이구마 담백고소칩 두부과자 12개입 480g,스낵/사무실간식(소포장)
라이프컬쳐 꿀이구마 말랑 견과 오란다 20개입 400g,전병/사무실간식(소포장)
라이프컬쳐 꿀이구마 말랑 초코 오란다 30개입 900g,전병/사무실간식(소포장)
라이프컬쳐 꿀이구마 말랑 초코 오란다 50개입 800g,전병/사무실간식(소포장)
라이프컬쳐 꿀이구마 말랑 플레인 오란다 30개입 420g,전병/사무실간식(소포장)
라이프컬쳐 꿀이구마 말랑 플레인 오란다 50개입 700g,전병/사무실간식(소포장)
로뎀푸드 미니 르뱅쿠키 녹차 5개입 100g,쿠키/사무실간식(소포장)
로뎀푸드 미니 르뱅쿠키 잡곡 5개입 80g,쿠키/사무실간식(소포장)
로뎀푸드 미니 르뱅쿠키 초코 5개입 100g,쿠키/사무실간식(소포장)
로뎀푸드 미니 르뱅쿠키 홍차 5개입 100g,쿠키/사무실간식(소포장)
로투스 비스코프 250g,"비스킷,크래커/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 481kcal"
로투스 비스코프 50개입 312.5g,"비스킷,크래커/사무실간식(소포장)"
로투스 비스코프 936g,"비스킷,크래커/사무실간식(소포장)/156g x 6입"
롯데웰푸드 끼리 빈츠 크림치즈 24개입 204g,"비스킷,크래커/사무실간식(소포장)"
롯데웰푸드 립파이 초코 12개입 132g,파이/사무실간식(소포장)
롯데웰푸드 립파이 초코 8개입 88g,파이/사무실간식(소포장)
