Name,Spec
CJ프레시웨이 이츠웰 튼튼플러스 요거얌얌 플레인 125ml,"마시는 요구르트/포장형태: 팩/
[영양정보] 1회 제공량 125ml당 열량: 45kcal/탄수화물: 11g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg/칼슘: 67mg"
FAGE 파예 그릭 요거트 무지방 딸기 150g,"떠먹는 요구르트/포장형태: 컵/특징: 무지방/
[영양정보] 1회 제공량 150g당 열량: 100kcal"
FAGE 파예 그릭 요거트 무지방 블루베리 요거트 150g,떠먹는 요구르트/포장형태: 컵/특징: 무지방
FAGE 파예 그릭 요거트 무지방 허니요거트 150g,떠먹는 요구르트/포장형태: 컵/특징: 무지방
FAGE 파예 그릭 요거트 저지방 2% 150g,"떠먹는 요구르트/포장형태: 컵/특징: 저지방/
[영양정보] 1회 제공량 150g당 열량: 105kcal"
FAGE 파예 그릭 요거트 플레인 5% 150g,떠먹는 요구르트/포장형태: 컵
FAGE 파예 그릭 요거트 플레인 5% 450g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 95kcal"
GS리테일 유어스 그랜드 요구르트 280ml,마시는 요구르트/포장형태: 페트
YOZM 요구르트맛 그릭요거트 100g,떠먹는 요구르트
강훈목장 수제 그릭요거트 250g,떠먹는 요구르트/포장형태: 페트
건국유업 오늘좋은 플레인요거트 오리지널 900g,떠먹는 요구르트/900g
그릭데이 무항생제 드링킹 요거트 500ml,마시는 요구르트/포장형태: 페트
그릭오 딸기 그릭 요거트 100g,떠먹는 요구르트
그릭오 딸기 그릭요거트 100g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 163kcal"
그릭오 말차 그릭요거트 100g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 210kcal"
그릭오 초코 그릭요거트 100g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 242kcal"
그릭오 홍차 밀크티 그릭요거트 100g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 191kcal"
남양 떠먹는 불가리스 기획 85g,"떠먹는 요구르트/포장형태: 컵/
[영양정보]"
남양 또떠불 눈꽃초코 그래놀라 125g,떠먹는 요구르트/포장형태: 컵
남양 불가리스 위쎈 150ml,"마시는 요구르트/포장형태: 페트, 팩/
[영양정보]"
남양 불가리스 위쎈 샤인머스캣 150ml,마시는 요구르트/포장형태: 페트/150ml
남양 불가리스 자연의 시작 딸기 150ml,마시는 요구르트/포장형태: 페트
남양 불가리스 자연의 시작 포도 150ml,마시는 요구르트/포장형태: 페트
남양 이너케어 위 프로텍트 130ml,"마시는 요구르트/포장형태: 페트/
[영양정보]"
남양 이오 80ml,마시는 요구르트/포장형태: 페트
남양 포스트바이오틱스 이너케어 간 프로텍트 130ml,"마시는 요구르트/포장형태: 페트/
[영양정보]"
남양유업 그란데 요구르트 280ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 80ml당 열량: 50kcal/탄수화물: 11g/당류: 6.5g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg/칼슘: 34mg"
남양유업 남양 요구르트 65ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 65ml당 열량: 45kcal/탄수화물: 10g/당류: 10g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
남양유업 떠먹는 불가리스 딸기 85g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 85g당 열량: 90kcal/탄수화물: 14g/당류: 12g/단백질: 3g/지방: 2.4g/포화지방: 1.7g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 50mg"
남양유업 떠먹는 불가리스 딸기 떠불 85g,떠먹는 요구르트/포장형태: 컵/85g
남양유업 떠먹는 불가리스 복숭아 85g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 85g당 열량: 90kcal/탄수화물: 14g/당류: 12g/단백질: 3g/지방: 2.4g/포화지방: 1.7g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 50mg"
남양유업 떠먹는 불가리스 블루베리 85g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 85g당 열량: 80kcal"
남양유업 또떠불 눈꽃초코 그래놀라 125g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 125g당 열량: 160kcal/탄수화물: 23g/당류: 16g/단백질: 6.5g/지방: 4.8g/포화지방: 3.8g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 75mg"
남양유업 또떠불 하트초코 125g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 125g당 열량: 160kcal/나트륨: 75mg/탄수화물: 23g/당류: 16g/지방: 5g/트랜스지방: 0g/포화지방: 3.1g/콜레스테롤: 10mg/단백질: 6g/칼슘: 100mg"
남양유업 불가리스 생요거트 435g,"떠먹는 요구르트/포장형태: 컵/
[영양정보] 1회 제공량 100g당 열량: 65kcal"
남양유업 불가리스 소화가 잘 되는 우유로 만든 요거트 락토프릭 그릭 400g,"떠먹는 요구르트/포장형태: 컵/특징: 락토프리/
[영양정보] 1회 제공량 100g당 열량: 90kcal"
남양유업 불가리스 위쎈 150ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 145kcal/탄수화물: 21g/당류: 13g/단백질: 5g/지방: 4.5g/포화지방: 2.8g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 90mg/칼슘: 150mg"
남양유업 불가리스 위쎈 샤인머스캣 150ml,마시는 요구르트/포장형태: 페트/150ml
남양유업 불가리스 자연의 시작 딸기 150ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 125kcal/탄수화물: 18g/당류: 13g/단백질: 5g/지방: 4g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 90mg/칼슘: 150mg"
남양유업 이오 브레드 이발소 유산균 음료 미니 125ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 125ml당 열량: 28kcal/탄수화물: 7g/당류: 7g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg/칼슘: 70mg/비타민C: 10mg"
