Name,Spec
EM EM_X 골드 500ml,"차음료/발효음료/포장형태: 페트/
[영양정보]"
FAVA BIBITE 마카리오 테알라멘타 275ml,"차음료/홍차음료/포장형태: 병/
[영양정보] 1회 제공량 275ml당 열량: 107kcal"
FAVA BIBITE 마카리오 테알라페스카 275ml,"차음료/홍차음료/포장형태: 병/
[영양정보] 1회 제공량 275ml당 열량: 99kcal"
FAVA BIBITE 마카리오 테알리모네 275ml,"차음료/홍차음료/포장형태: 병/
[영양정보] 1회 제공량 275ml당 열량: 94kcal"
OISHI 그린티 현미 380ml,차음료/포장형태: 페트
OISHI 오이시 그린티 현미 380ml,차음료/녹차음료/포장형태: 페트
SPC삼립 복숭아 아이스티 카페스노우 230ml,"차음료/홍차음료/포장형태: 파우치/
[영양정보] 총 내용량 230ml당 열량: 105kcal"
SPC삼립 티트라 레몬그린티 500ml,"차음료/녹차음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 195kcal/탄수화물: 48g/당류: 45g/단백질: 0g/지방: 0.4g/포화지방: 0.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
고려전통식품 기순도 생강 식혜 1L,"차음료/식혜/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 73kcal"
고려전통식품 기순도 쌀식혜 1kg,차음료/식혜/포장형태: 페트
광동제약 V라인 옥수수수염차 1.25L,차음료/곡물음료/포장형태: 페트
광동제약 V라인 옥수수수염차 1.5L,"차음료/곡물음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
광동제약 V라인 옥수수수염차 180ml,"차음료/곡물음료/포장형태: 캔/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
광동제약 V라인 옥수수수염차 340ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 340ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg"
광동제약 V라인 옥수수수염차 500ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
광동제약 V라인 옥수수수염차 무라벨 1.5L,차음료/곡물음료/포장형태: 페트/무라벨/박스
광동제약 V라인 옥수수수염차 무라벨 330ml,"차음료/곡물음료/포장형태: 페트/무라벨/
[영양정보] 1회 제공량 330ml당 열량: 0kcal"
광동제약 광동 더 진한 헛개차 골드라벨 500ml,차음료/포장형태: 페트/500ml
광동제약 광동 우엉차 500ml,차음료/포장형태: 페트
광동제약 대추쌍화 150ml 10입 x 4박스,차음료
"광동제약 대추쌍화, 150ml, 10개입, 2개",차음료
광동제약 더진한 헛개차 골드라벨 500ml,차음료/곡물음료/포장형태: 페트
광동제약 매일매일 가뿐하게 우엉차 500ml,차음료/곡물음료/포장형태: 페트
광동제약 밀싹 보리차 1.5L,차음료/곡물음료/포장형태: 페트/박스
광동제약 밀싹 보리차 500ml,차음료/곡물음료/포장형태: 페트
광동제약 밀싹보리차 1.5L,차음료/곡물음료/포장형태: 페트
광동제약 밀싹보리차 500ml,차음료/곡물음료/포장형태: 페트
광동제약 밀싹보리차 무라벨 1.5L,차음료/곡물음료/포장형태: 페트/무라벨
광동제약 밀싹보리차 무라벨 330ml,차음료/곡물음료/포장형태: 페트
광동제약 블렌딩 티 비앙떼 허니유자캐모마일 제로 500ml,"차음료/기타차음료/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
광동제약 블렌딩 티 비앙떼 허니자몽블랙티 500ml,"차음료/기타차음료/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
광동제약 옥수수 수염차 500ml,차음료/곡물음료/포장형태: 페트
