2024-10-16 21:46:02
68774054,풍기인삼 6년근 파삼 세척삼 750g,"3,467원/100g",26000,1몰,,인삼
68692976,후금이네 금산고려인삼 한뿌리삼 35g 3개입,"12,286원/100g",12900,1몰,,인삼
67922255,울몸애 세척 수삼 세트 1.2kg,"5,850원/100g",70200,1몰,,수삼/특징: 선물세트/국산
66503183,씨너지아이앤티 메디트리 메드트리 사랑담은 침향환 골드 3.75g 30환,1개,20320,1몰,"20,320원/1환",홍삼/형태: 환/섭취대상: 성인남녀
66502955,홀라이프 김오곤 프리미엄 침향단 4.5g 100환,1개,71880,12몰,719원/1환,홍삼/형태: 환
66051827,정관장 홍삼톤 청 50ml 30포,1,201440,11몰,2개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:4.5mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
66051830,정관장 홍삼톤 청 50ml 30포,2,306000,5몰,3개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:4.5mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
66133154,니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 100포,1개,36900,5몰,369원/1포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:7mg/HACCP/기능성: 면역력 증진"
66132740,정관장 활기력 JOY 자몽허니 20ml 30병,3개,266560,2몰,"2,962원/1병","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/원재료: 6년근/기능성: 면역력 증진"
66132635,정원장 튼튼키즈 어린이 홍삼 30포,1개,24900,4몰,830원/1포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:4.5mg/GMP/이력추적"
66132503,농협홍삼 한삼인 홍삼진 굿데이스틱 10ml 100포,1,46990,47몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:3mg/건강기능식품/기능성: 면역력 증진, 항산화"
66132554,농협홍삼 한삼인 홍삼진 굿데이스틱 10ml 100포,2,95390,21몰,2개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:3mg/건강기능식품/기능성: 면역력 증진, 항산화"
66132560,농협홍삼 한삼인 홍삼진 굿데이스틱 10ml 100포,3개,129590,4몰,432원/1포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:3mg/건강기능식품/기능성: 면역력 증진, 항산화"
66132488,정원장 6년근 홍삼스틱 프리미엄 골드 100포,1개,77900,1몰,779원/1포,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/
진세노사이드 1일함량:20mg/건강기능식품/GMP/이력추적/기능성: 면역력 증진, 항산화"
66000065,정관장 활기력 세트 20ml 30병,3개,220620,11몰,"1,226원/10ml","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회,1병/섭취기간: 1개월분/원재료: 6년근/기능성: 면역력 증진, 장 건강"
